exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
AMEX,AAAU,d,2025-12-03,41.71,41.86,41.41,41.515,1343900,AAAU,AMEX,2026-01-04 15:12:22.492022
AMEX,AAAU,d,2025-12-04,41.52,41.64,41.37,41.545,1088700,AAAU,AMEX,2026-01-04 15:12:22.492022
AMEX,AAAU,d,2025-12-05,41.77,42.035,41.44,41.475,1967600,AAAU,AMEX,2026-01-04 15:12:22.492022
AMEX,AAAU,d,2025-12-08,41.55,41.56,41.22,41.365,1670700,AAAU,AMEX,2026-01-04 15:12:22.492022
AMEX,AAAU,d,2025-12-09,41.38,41.66,41.36,41.58,1097600,AAAU,AMEX,2026-01-04 15:12:22.492022
AMEX,AAAU,d,2025-12-10,41.43,41.835,41.27,41.75,2129000,AAAU,AMEX,2026-01-04 15:12:22.492022
AMEX,AAAU,d,2025-12-11,41.76,42.29,41.71,42.19,2129900,AAAU,AMEX,2026-01-04 15:12:22.492022
AMEX,AAAU,d,2025-12-12,42.85,42.955,42.015,42.44,2866300,AAAU,AMEX,2026-01-04 15:12:22.492022
AMEX,AAAU,d,2025-12-15,42.69,42.78,42.3,42.49,1471600,AAAU,AMEX,2026-01-04 15:12:22.492022
AMEX,AAAU,d,2025-12-16,42.72,42.79,42.36,42.49,1601300,AAAU,AMEX,2026-01-04 15:12:22.492022
AMEX,AAAU,d,2025-12-17,42.72,42.92,42.65,42.86,1732800,AAAU,AMEX,2026-01-04 15:12:22.492022
AMEX,AAAU,d,2025-12-18,42.76,43.16,42.51,42.76,2323700,AAAU,AMEX,2026-01-04 15:12:22.492022
AMEX,AAAU,d,2025-12-19,42.71,42.99,42.63,42.82,1122100,AAAU,AMEX,2026-01-04 15:12:22.492022
AMEX,AAAU,d,2025-12-22,43.51,43.835,43.49,43.81,1322106,AAAU,AMEX,2026-01-04 15:12:22.492022
AMEX,AAAU,d,2025-12-23,44.05,44.39,43.7,44.35,2165700,AAAU,AMEX,2026-01-04 15:12:22.492022
AMEX,AAAU,d,2025-12-24,44.25,44.27,43.88,44.2,1192700,AAAU,AMEX,2026-01-04 15:12:22.492022
AMEX,AAAU,d,2025-12-26,44.67,44.9,44.52,44.72,2137900,AAAU,AMEX,2026-01-04 15:12:22.492022
AMEX,AAAU,d,2025-12-29,43.34,43.34,42.45,42.77,2941200,AAAU,AMEX,2026-01-04 15:12:22.492022
AMEX,AAAU,d,2025-12-30,43.32,43.335,42.81,42.85,1905500,AAAU,AMEX,2026-01-04 15:12:22.492022
AMEX,AAAU,d,2025-12-31,42.78,42.95,42.455,42.55,1606800,AAAU,AMEX,2026-01-04 15:12:22.492022
AMEX,AAAU,d,2026-01-02,43.12,43.12,42.54,42.74,1629300,AAAU,AMEX,2026-01-04 15:12:22.492022
