exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
AMEX,AAPW,d,2025-12-03,43.96,44.6537,43.52,43.52,19400,AAPW,AMEX,2026-01-04 15:13:28.258544
AMEX,AAPW,d,2025-12-04,43.58,43.6,42.8,42.9926,17300,AAPW,AMEX,2026-01-04 15:13:28.258544
AMEX,AAPW,d,2025-12-05,43.17,43.2052,42.61,42.61,18800,AAPW,AMEX,2026-01-04 15:13:28.258544
AMEX,AAPW,d,2025-12-08,42.3,42.4595,41.9895,42.19,15500,AAPW,AMEX,2026-01-04 15:13:28.258544
AMEX,AAPW,d,2025-12-09,42.46,42.6,42.1593,42.1593,12800,AAPW,AMEX,2026-01-04 15:13:28.258544
AMEX,AAPW,d,2025-12-10,42.11,42.56,41.96,42.375,18300,AAPW,AMEX,2026-01-04 15:13:28.258544
AMEX,AAPW,d,2025-12-11,42.59,42.59,41.6,42.31,32900,AAPW,AMEX,2026-01-04 15:13:28.258544
AMEX,AAPW,d,2025-12-12,42.19,42.5,42.17,42.5,21000,AAPW,AMEX,2026-01-04 15:13:28.258544
AMEX,AAPW,d,2025-12-15,42.59,42.59,41.1,41.16,43000,AAPW,AMEX,2026-01-04 15:13:28.258544
AMEX,AAPW,d,2025-12-16,41.12,41.43,40.91,41.24,13400,AAPW,AMEX,2026-01-04 15:13:28.258544
AMEX,AAPW,d,2025-12-17,41.35,41.6,40.753,40.85,12100,AAPW,AMEX,2026-01-04 15:13:28.258544
AMEX,AAPW,d,2025-12-18,41.31,41.31,40.05,40.84,18200,AAPW,AMEX,2026-01-04 15:13:28.258544
AMEX,AAPW,d,2025-12-19,40.91,41.12,40.66,41.12,39100,AAPW,AMEX,2026-01-04 15:13:28.258544
AMEX,AAPW,d,2025-12-22,40.8,40.93,40.29,40.35,10227,AAPW,AMEX,2026-01-04 15:13:28.258544
AMEX,AAPW,d,2025-12-23,40.19,40.7,40.19,40.59,13200,AAPW,AMEX,2026-01-04 15:13:28.258544
AMEX,AAPW,d,2025-12-24,40.26,41.25,40.26,40.85,6200,AAPW,AMEX,2026-01-04 15:13:28.258544
AMEX,AAPW,d,2025-12-26,40.94,41.2107,40.74,40.74,18800,AAPW,AMEX,2026-01-04 15:13:28.258544
AMEX,AAPW,d,2025-12-29,40.13,40.85,40.13,40.64,14500,AAPW,AMEX,2026-01-04 15:13:28.258544
AMEX,AAPW,d,2025-12-30,40.19,40.752,40.19,40.5,7700,AAPW,AMEX,2026-01-04 15:13:28.258544
AMEX,AAPW,d,2025-12-31,40.35,40.6,40.35,40.4362,6500,AAPW,AMEX,2026-01-04 15:13:28.258544
AMEX,AAPW,d,2026-01-02,40.43,41.52,39.94,40.11,12700,AAPW,AMEX,2026-01-04 15:13:28.258544
