exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
AMEX,AAPY,d,2025-12-03,26.08,26.08,25.94,25.9554,3800,AAPY,AMEX,2026-01-04 15:14:33.981954
AMEX,AAPY,d,2025-12-04,25.97,25.97,25.66,25.79,3600,AAPY,AMEX,2026-01-04 15:14:33.981954
AMEX,AAPY,d,2025-12-05,25.68,25.75,25.6303,25.6303,1600,AAPY,AMEX,2026-01-04 15:14:33.981954
AMEX,AAPY,d,2025-12-08,25.53,25.55,25.38,25.5466,2100,AAPY,AMEX,2026-01-04 15:14:33.981954
AMEX,AAPY,d,2025-12-09,25.6,25.66,25.51,25.532,5900,AAPY,AMEX,2026-01-04 15:14:33.981954
AMEX,AAPY,d,2025-12-10,25.37,25.75,25.37,25.7137,3100,AAPY,AMEX,2026-01-04 15:14:33.981954
AMEX,AAPY,d,2025-12-11,25.73,25.73,25.38,25.6,3700,AAPY,AMEX,2026-01-04 15:14:33.981954
AMEX,AAPY,d,2025-12-12,25.57,25.65,25.57,25.65,1900,AAPY,AMEX,2026-01-04 15:14:33.981954
AMEX,AAPY,d,2025-12-15,25.305,25.31,25.2,25.3093,6500,AAPY,AMEX,2026-01-04 15:14:33.981954
AMEX,AAPY,d,2025-12-16,25.33,25.41,25.0892,25.39,4000,AAPY,AMEX,2026-01-04 15:14:33.981954
AMEX,AAPY,d,2025-12-17,25.15,25.15,24.89,24.89,4500,AAPY,AMEX,2026-01-04 15:14:33.981954
AMEX,AAPY,d,2025-12-18,24.51,24.97,24.51,24.8734,1900,AAPY,AMEX,2026-01-04 15:14:33.981954
AMEX,AAPY,d,2025-12-19,24.86,24.8715,24.6901,24.81,4400,AAPY,AMEX,2026-01-04 15:14:33.981954
AMEX,AAPY,d,2025-12-22,24.96,24.9612,24.82,24.845,1119,AAPY,AMEX,2026-01-04 15:14:33.981954
AMEX,AAPY,d,2025-12-23,24.68,24.8989,24.68,24.8989,2000,AAPY,AMEX,2026-01-04 15:14:33.981954
AMEX,AAPY,d,2025-12-24,25.05,25.1399,25.0174,25.0174,900,AAPY,AMEX,2026-01-04 15:14:33.981954
AMEX,AAPY,d,2025-12-26,25.02,25.0653,24.9652,24.9652,900,AAPY,AMEX,2026-01-04 15:14:33.981954
AMEX,AAPY,d,2025-12-29,24.83,25.06,24.83,25.0277,2100,AAPY,AMEX,2026-01-04 15:14:33.981954
AMEX,AAPY,d,2025-12-30,24.93,24.9812,24.9,24.9812,2700,AAPY,AMEX,2026-01-04 15:14:33.981954
AMEX,AAPY,d,2025-12-31,24.93,24.945,24.8877,24.8877,2100,AAPY,AMEX,2026-01-04 15:14:33.981954
AMEX,AAPY,d,2026-01-02,25.01,25.19,24.677,24.7671,3700,AAPY,AMEX,2026-01-04 15:14:33.981954
