exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
AMEX,ABEQ,d,2025-12-03,36.22,36.2669,36.07,36.0777,63700,ABEQ,AMEX,2026-01-04 15:15:39.728747
AMEX,ABEQ,d,2025-12-04,36.15,36.18,36.11,36.1386,3200,ABEQ,AMEX,2026-01-04 15:15:39.728747
AMEX,ABEQ,d,2025-12-05,36.1945,36.25,36.1051,36.1051,2100,ABEQ,AMEX,2026-01-04 15:15:39.728747
AMEX,ABEQ,d,2025-12-08,35.75,35.76,35.63,35.63,17600,ABEQ,AMEX,2026-01-04 15:15:39.728747
AMEX,ABEQ,d,2025-12-09,35.8,35.8795,35.71,35.71,16900,ABEQ,AMEX,2026-01-04 15:15:39.728747
AMEX,ABEQ,d,2025-12-10,35.73,35.8,35.6601,35.8,4600,ABEQ,AMEX,2026-01-04 15:15:39.728747
AMEX,ABEQ,d,2025-12-11,36.13,36.3017,36.13,36.23,17900,ABEQ,AMEX,2026-01-04 15:15:39.728747
AMEX,ABEQ,d,2025-12-12,36.34,36.34,36.08,36.18,7900,ABEQ,AMEX,2026-01-04 15:15:39.728747
AMEX,ABEQ,d,2025-12-15,36.31,36.31,36.14,36.29,14500,ABEQ,AMEX,2026-01-04 15:15:39.728747
AMEX,ABEQ,d,2025-12-16,36.07,36.1,35.92,35.92,9500,ABEQ,AMEX,2026-01-04 15:15:39.728747
AMEX,ABEQ,d,2025-12-17,35.99,36.15,35.9625,36.15,15400,ABEQ,AMEX,2026-01-04 15:15:39.728747
AMEX,ABEQ,d,2025-12-18,36.15,36.21,36.05,36.12,6900,ABEQ,AMEX,2026-01-04 15:15:39.728747
AMEX,ABEQ,d,2025-12-19,36.29,36.31,36.16,36.16,6800,ABEQ,AMEX,2026-01-04 15:15:39.728747
AMEX,ABEQ,d,2025-12-22,36.28,36.43,36.28,36.42,11035,ABEQ,AMEX,2026-01-04 15:15:39.728747
AMEX,ABEQ,d,2025-12-23,36.44,36.47,36.369,36.47,2400,ABEQ,AMEX,2026-01-04 15:15:39.728747
AMEX,ABEQ,d,2025-12-24,36.43,36.52,36.42,36.52,1800,ABEQ,AMEX,2026-01-04 15:15:39.728747
AMEX,ABEQ,d,2025-12-26,36.56,36.56,36.41,36.4869,1700,ABEQ,AMEX,2026-01-04 15:15:39.728747
AMEX,ABEQ,d,2025-12-29,36.26,36.26,36.195,36.24,2700,ABEQ,AMEX,2026-01-04 15:15:39.728747
AMEX,ABEQ,d,2025-12-30,36.07,36.1,36.05,36.05,5800,ABEQ,AMEX,2026-01-04 15:15:39.728747
AMEX,ABEQ,d,2025-12-31,36.0,36.0,35.85,35.85,4700,ABEQ,AMEX,2026-01-04 15:15:39.728747
AMEX,ABEQ,d,2026-01-02,35.72,35.855,35.69,35.855,3700,ABEQ,AMEX,2026-01-04 15:15:39.728747
