exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
AMEX,ABFL,d,2025-12-03,71.66,71.86,71.42,71.73,63000,ABFL,AMEX,2026-01-04 15:16:13.032109
AMEX,ABFL,d,2025-12-04,71.76,72.14,71.53,71.98,33900,ABFL,AMEX,2026-01-04 15:16:13.032109
AMEX,ABFL,d,2025-12-05,72.06,72.2299,71.7,72.0,477300,ABFL,AMEX,2026-01-04 15:16:13.032109
AMEX,ABFL,d,2025-12-08,72.14,72.1499,71.7831,71.92,97300,ABFL,AMEX,2026-01-04 15:16:13.032109
AMEX,ABFL,d,2025-12-09,71.79,72.11,71.775,71.87,31000,ABFL,AMEX,2026-01-04 15:16:13.032109
AMEX,ABFL,d,2025-12-10,72.02,72.81,71.671,72.44,32100,ABFL,AMEX,2026-01-04 15:16:13.032109
AMEX,ABFL,d,2025-12-11,72.33,73.15,72.13,73.12,23100,ABFL,AMEX,2026-01-04 15:16:13.032109
AMEX,ABFL,d,2025-12-12,72.93,73.17,71.6,71.75,26000,ABFL,AMEX,2026-01-04 15:16:13.032109
AMEX,ABFL,d,2025-12-15,72.08,72.18,71.7,71.81,30300,ABFL,AMEX,2026-01-04 15:16:13.032109
AMEX,ABFL,d,2025-12-16,71.57,71.89,71.0839,71.49,42800,ABFL,AMEX,2026-01-04 15:16:13.032109
AMEX,ABFL,d,2025-12-17,71.67,71.76,70.59,70.635,59300,ABFL,AMEX,2026-01-04 15:16:13.032109
AMEX,ABFL,d,2025-12-18,71.48,71.685,71.09,71.21,57200,ABFL,AMEX,2026-01-04 15:16:13.032109
AMEX,ABFL,d,2025-12-19,71.52,72.32,71.52,72.22,33700,ABFL,AMEX,2026-01-04 15:16:13.032109
AMEX,ABFL,d,2025-12-22,72.53,72.88,72.53,72.77,42920,ABFL,AMEX,2026-01-04 15:16:13.032109
AMEX,ABFL,d,2025-12-23,72.8,72.8,72.48,72.79,26700,ABFL,AMEX,2026-01-04 15:16:13.032109
AMEX,ABFL,d,2025-12-24,72.64,72.9794,72.64,72.94,23100,ABFL,AMEX,2026-01-04 15:16:13.032109
AMEX,ABFL,d,2025-12-26,73.02,73.1,72.88,73.04,22300,ABFL,AMEX,2026-01-04 15:16:13.032109
AMEX,ABFL,d,2025-12-29,72.56,72.73,72.4787,72.59,24600,ABFL,AMEX,2026-01-04 15:16:13.032109
AMEX,ABFL,d,2025-12-30,72.29,72.4,72.14,72.15,10800,ABFL,AMEX,2026-01-04 15:16:13.032109
AMEX,ABFL,d,2025-12-31,71.84,71.84,71.37,71.37,21100,ABFL,AMEX,2026-01-04 15:16:13.032109
AMEX,ABFL,d,2026-01-02,71.71,71.9699,71.47,71.91,31400,ABFL,AMEX,2026-01-04 15:16:13.032109
