exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
AMEX,ABLG,d,2025-12-03,31.9366,31.9366,31.9366,31.9366,100,ABLG,AMEX,2026-01-04 15:17:18.903963
AMEX,ABLG,d,2025-12-04,32.24,32.24,31.83,31.8775,17100,ABLG,AMEX,2026-01-04 15:17:18.903963
AMEX,ABLG,d,2025-12-05,31.8461,31.8461,31.8461,31.8461,100,ABLG,AMEX,2026-01-04 15:17:18.903963
AMEX,ABLG,d,2025-12-08,31.6257,31.6257,31.6257,31.6257,100,ABLG,AMEX,2026-01-04 15:17:18.903963
AMEX,ABLG,d,2025-12-09,31.63,31.696,31.6207,31.6207,1800,ABLG,AMEX,2026-01-04 15:17:18.903963
AMEX,ABLG,d,2025-12-10,31.71,31.9525,31.71,31.9525,700,ABLG,AMEX,2026-01-04 15:17:18.903963
AMEX,ABLG,d,2025-12-11,32.1067,32.1067,32.1067,32.1067,300,ABLG,AMEX,2026-01-04 15:17:18.903963
AMEX,ABLG,d,2025-12-12,32.08,32.08,31.7734,31.7734,200,ABLG,AMEX,2026-01-04 15:17:18.903963
AMEX,ABLG,d,2025-12-15,31.83,31.86,31.7647,31.774,1900,ABLG,AMEX,2026-01-04 15:17:18.903963
AMEX,ABLG,d,2025-12-16,31.7,31.727,31.66,31.727,500,ABLG,AMEX,2026-01-04 15:17:18.903963
AMEX,ABLG,d,2025-12-17,31.68,31.68,31.3772,31.3772,300,ABLG,AMEX,2026-01-04 15:17:18.903963
AMEX,ABLG,d,2025-12-18,31.75,31.87,31.7168,31.7168,3100,ABLG,AMEX,2026-01-04 15:17:18.903963
AMEX,ABLG,d,2025-12-19,31.98,32.1,31.98,31.9802,2300,ABLG,AMEX,2026-01-04 15:17:18.903963
AMEX,ABLG,d,2025-12-22,32.2,32.2,31.94,31.94,8314,ABLG,AMEX,2026-01-04 15:17:18.903963
AMEX,ABLG,d,2025-12-23,32.115,32.115,32.115,32.115,100,ABLG,AMEX,2026-01-04 15:17:18.903963
AMEX,ABLG,d,2025-12-24,31.92,32.14,31.92,32.14,1600,ABLG,AMEX,2026-01-04 15:17:18.903963
AMEX,ABLG,d,2025-12-26,32.1798,32.1798,32.1798,32.1798,100,ABLG,AMEX,2026-01-04 15:17:18.903963
AMEX,ABLG,d,2025-12-29,31.99,32.19,31.87,32.07,1100,ABLG,AMEX,2026-01-04 15:17:18.903963
AMEX,ABLG,d,2025-12-30,31.9018,31.965,31.8918,31.8918,1000,ABLG,AMEX,2026-01-04 15:17:18.903963
AMEX,ABLG,d,2025-12-31,31.66,31.97,31.59,31.7076,1200,ABLG,AMEX,2026-01-04 15:17:18.903963
AMEX,ABLG,d,2026-01-02,31.76,31.9255,31.76,31.9255,1200,ABLG,AMEX,2026-01-04 15:17:18.903963
