exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
AMEX,ABLS,d,2025-12-03,23.3675,23.3675,23.3675,23.3675,100,ABLS,AMEX,2026-01-04 15:17:52.030695
AMEX,ABLS,d,2025-12-04,23.3251,23.3251,23.3251,23.3251,100,ABLS,AMEX,2026-01-04 15:17:52.030695
AMEX,ABLS,d,2025-12-05,23.0558,23.0558,23.0558,23.0558,100,ABLS,AMEX,2026-01-04 15:17:52.030695
AMEX,ABLS,d,2025-12-08,22.952,22.952,22.952,22.952,100,ABLS,AMEX,2026-01-04 15:17:52.030695
AMEX,ABLS,d,2025-12-09,23.1304,23.1304,23.1304,23.1304,100,ABLS,AMEX,2026-01-04 15:17:52.030695
AMEX,ABLS,d,2025-12-10,23.2243,23.2243,23.2243,23.2243,100,ABLS,AMEX,2026-01-04 15:17:52.030695
AMEX,ABLS,d,2025-12-11,23.593,23.593,23.593,23.593,100,ABLS,AMEX,2026-01-04 15:17:52.030695
AMEX,ABLS,d,2025-12-12,23.5367,23.5367,23.5367,23.5367,100,ABLS,AMEX,2026-01-04 15:17:52.030695
AMEX,ABLS,d,2025-12-15,23.4,23.4,23.2265,23.2265,300,ABLS,AMEX,2026-01-04 15:17:52.030695
AMEX,ABLS,d,2025-12-16,23.2346,23.2346,23.2346,23.2346,100,ABLS,AMEX,2026-01-04 15:17:52.030695
AMEX,ABLS,d,2025-12-17,23.0317,23.0317,23.0317,23.0317,100,ABLS,AMEX,2026-01-04 15:17:52.030695
AMEX,ABLS,d,2025-12-18,23.1853,23.1853,23.1853,23.1853,100,ABLS,AMEX,2026-01-04 15:17:52.030695
AMEX,ABLS,d,2025-12-19,23.2122,23.2122,23.2122,23.2122,100,ABLS,AMEX,2026-01-04 15:17:52.030695
AMEX,ABLS,d,2025-12-22,23.4199,23.4199,23.4199,23.2346,0,ABLS,AMEX,2026-01-04 15:17:52.030695
AMEX,ABLS,d,2025-12-23,23.2229,23.2229,23.2229,23.2229,100,ABLS,AMEX,2026-01-04 15:17:52.030695
AMEX,ABLS,d,2025-12-24,23.2858,23.2858,23.2858,23.2858,100,ABLS,AMEX,2026-01-04 15:17:52.030695
AMEX,ABLS,d,2025-12-26,23.2754,23.2754,23.2754,23.2754,100,ABLS,AMEX,2026-01-04 15:17:52.030695
AMEX,ABLS,d,2025-12-29,23.1627,23.1627,23.1627,23.1627,100,ABLS,AMEX,2026-01-04 15:17:52.030695
AMEX,ABLS,d,2025-12-30,20.2451,20.2451,20.2451,20.2451,100,ABLS,AMEX,2026-01-04 15:17:52.030695
AMEX,ABLS,d,2025-12-31,20.0322,20.0322,20.0322,20.0322,100,ABLS,AMEX,2026-01-04 15:17:52.030695
AMEX,ABLS,d,2026-01-02,19.9796,19.9796,19.8614,19.8614,100,ABLS,AMEX,2026-01-04 15:17:52.030695
