exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
AMEX,ACES,d,2025-12-03,32.46,32.89,32.23,32.86,38600,ACES,AMEX,2026-01-04 15:21:09.335270
AMEX,ACES,d,2025-12-04,32.78,33.625,32.78,33.54,25700,ACES,AMEX,2026-01-04 15:21:09.335270
AMEX,ACES,d,2025-12-05,33.67,33.96,33.4095,33.4095,14500,ACES,AMEX,2026-01-04 15:21:09.335270
AMEX,ACES,d,2025-12-08,33.45,33.5,32.71,33.05,21100,ACES,AMEX,2026-01-04 15:21:09.335270
AMEX,ACES,d,2025-12-09,32.98,33.56,32.98,33.07,28600,ACES,AMEX,2026-01-04 15:21:09.335270
AMEX,ACES,d,2025-12-10,33.07,33.99,33.03,33.65,60200,ACES,AMEX,2026-01-04 15:21:09.335270
AMEX,ACES,d,2025-12-11,33.5,34.24,33.05,34.23,29600,ACES,AMEX,2026-01-04 15:21:09.335270
AMEX,ACES,d,2025-12-12,34.27,34.32,33.26,33.33,13300,ACES,AMEX,2026-01-04 15:21:09.335270
AMEX,ACES,d,2025-12-15,33.43,33.43,33.041,33.11,64800,ACES,AMEX,2026-01-04 15:21:09.335270
AMEX,ACES,d,2025-12-16,32.87,33.02,32.7,32.98,5200,ACES,AMEX,2026-01-04 15:21:09.335270
AMEX,ACES,d,2025-12-17,33.2,33.36,32.22,32.27,10200,ACES,AMEX,2026-01-04 15:21:09.335270
AMEX,ACES,d,2025-12-18,32.78,33.25,32.78,33.05,24500,ACES,AMEX,2026-01-04 15:21:09.335270
AMEX,ACES,d,2025-12-19,33.3,33.89,33.29,33.62,36100,ACES,AMEX,2026-01-04 15:21:09.335270
AMEX,ACES,d,2025-12-22,33.96,34.62,33.95,34.53,9211,ACES,AMEX,2026-01-04 15:21:09.335270
AMEX,ACES,d,2025-12-23,34.18,34.26,33.5301,33.8023,20200,ACES,AMEX,2026-01-04 15:21:09.335270
AMEX,ACES,d,2025-12-24,33.82,34.028,33.61,34.01,15100,ACES,AMEX,2026-01-04 15:21:09.335270
AMEX,ACES,d,2025-12-26,34.02,34.02,33.6408,33.8,40100,ACES,AMEX,2026-01-04 15:21:09.335270
AMEX,ACES,d,2025-12-29,33.43,33.875,33.22,33.23,86400,ACES,AMEX,2026-01-04 15:21:09.335270
AMEX,ACES,d,2025-12-30,33.32,33.32,32.61,32.61,12500,ACES,AMEX,2026-01-04 15:21:09.335270
AMEX,ACES,d,2025-12-31,32.63,32.69,32.32,32.42,24500,ACES,AMEX,2026-01-04 15:21:09.335270
AMEX,ACES,d,2026-01-02,32.95,33.923,32.95,33.8659,12100,ACES,AMEX,2026-01-04 15:21:09.335270
