exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
AMEX,ACGR,d,2025-12-03,66.3702,66.3702,66.3702,66.3702,100,ACGR,AMEX,2026-01-04 15:21:42.317640
AMEX,ACGR,d,2025-12-04,66.47,66.47,66.4193,66.4193,700,ACGR,AMEX,2026-01-04 15:21:42.317640
AMEX,ACGR,d,2025-12-05,66.627,66.627,66.627,66.627,100,ACGR,AMEX,2026-01-04 15:21:42.317640
AMEX,ACGR,d,2025-12-08,66.6297,66.6297,66.6297,66.6297,100,ACGR,AMEX,2026-01-04 15:21:42.317640
AMEX,ACGR,d,2025-12-09,66.739,66.739,66.739,66.739,100,ACGR,AMEX,2026-01-04 15:21:42.317640
AMEX,ACGR,d,2025-12-10,66.8985,66.8985,66.8985,66.8985,100,ACGR,AMEX,2026-01-04 15:21:42.317640
AMEX,ACGR,d,2025-12-11,66.15,66.8803,66.15,66.8803,46000,ACGR,AMEX,2026-01-04 15:21:42.317640
AMEX,ACGR,d,2025-12-12,65.6192,65.6192,65.6192,65.6192,100,ACGR,AMEX,2026-01-04 15:21:42.317640
AMEX,ACGR,d,2025-12-15,65.25,65.25,65.2302,65.2302,900,ACGR,AMEX,2026-01-04 15:21:42.317640
AMEX,ACGR,d,2025-12-16,65.08,65.4632,65.08,65.4632,700,ACGR,AMEX,2026-01-04 15:21:42.317640
AMEX,ACGR,d,2025-12-17,64.2643,64.2643,64.2643,64.2643,100,ACGR,AMEX,2026-01-04 15:21:42.317640
AMEX,ACGR,d,2025-12-18,64.97,65.03,64.97,65.0164,400,ACGR,AMEX,2026-01-04 15:21:42.317640
AMEX,ACGR,d,2025-12-19,65.37,65.7924,65.3699,65.7924,200,ACGR,AMEX,2026-01-04 15:21:42.317640
AMEX,ACGR,d,2025-12-22,66.1663,66.1663,66.1663,65.3699,0,ACGR,AMEX,2026-01-04 15:21:42.317640
AMEX,ACGR,d,2025-12-23,66.7122,66.7122,66.7122,66.7122,100,ACGR,AMEX,2026-01-04 15:21:42.317640
AMEX,ACGR,d,2025-12-24,66.69,66.826,66.69,66.825,800,ACGR,AMEX,2026-01-04 15:21:42.317640
AMEX,ACGR,d,2025-12-26,66.95,66.95,66.8628,66.8628,3300,ACGR,AMEX,2026-01-04 15:21:42.317640
AMEX,ACGR,d,2025-12-29,66.5593,66.5593,66.5593,66.5593,100,ACGR,AMEX,2026-01-04 15:21:42.317640
AMEX,ACGR,d,2025-12-30,66.6,66.6,66.5018,66.5018,100,ACGR,AMEX,2026-01-04 15:21:42.317640
AMEX,ACGR,d,2025-12-31,66.46,66.46,66.044,66.044,2200,ACGR,AMEX,2026-01-04 15:21:42.317640
AMEX,ACGR,d,2026-01-02,66.32,66.32,65.6186,65.6186,800,ACGR,AMEX,2026-01-04 15:21:42.317640
