exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
AMEX,AAPX,d,2025-12-10,32.62,33.0399,32.28,32.8,101600,AAPX,AMEX,2026-01-10 09:43:05.694856
AMEX,AAPX,d,2025-12-11,32.97,33.0,31.73,32.65,155700,AAPX,AMEX,2026-01-10 09:43:05.694856
AMEX,AAPX,d,2025-12-12,32.53,32.87,32.39,32.68,56600,AAPX,AMEX,2026-01-10 09:43:05.694856
AMEX,AAPX,d,2025-12-15,32.94,33.045,31.3601,31.7,99300,AAPX,AMEX,2026-01-10 09:43:05.694856
AMEX,AAPX,d,2025-12-16,31.42,31.95,31.14,31.77,65700,AAPX,AMEX,2026-01-10 09:43:05.694856
AMEX,AAPX,d,2025-12-17,31.76,32.09,31.08,31.08,105200,AAPX,AMEX,2026-01-10 09:43:05.694856
AMEX,AAPX,d,2025-12-18,31.47,31.47,30.05,31.14,171600,AAPX,AMEX,2026-01-10 09:43:05.694856
AMEX,AAPX,d,2025-12-19,31.13,31.615,30.63,31.615,187000,AAPX,AMEX,2026-01-10 09:43:05.694856
AMEX,AAPX,d,2025-12-22,31.3872,31.49,30.67,30.73,839562,AAPX,AMEX,2026-01-10 09:43:05.694856
AMEX,AAPX,d,2025-12-23,30.33,31.08,30.25,30.82,101900,AAPX,AMEX,2026-01-10 09:43:05.694856
AMEX,AAPX,d,2025-12-24,30.53,31.27,30.53,30.89,165600,AAPX,AMEX,2026-01-10 09:43:05.694856
AMEX,AAPX,d,2025-12-26,30.88,31.23,30.68,30.79,286500,AAPX,AMEX,2026-01-10 09:43:05.694856
AMEX,AAPX,d,2025-12-29,30.6,31.0025,30.6,30.87,123500,AAPX,AMEX,2026-01-10 09:43:05.694856
AMEX,AAPX,d,2025-12-30,30.71,30.87,30.57,30.7,56100,AAPX,AMEX,2026-01-10 09:43:05.694856
AMEX,AAPX,d,2025-12-31,30.72,30.78,30.43,30.48,46700,AAPX,AMEX,2026-01-10 09:43:05.694856
AMEX,AAPX,d,2026-01-02,30.505,31.68,29.785,30.17,183300,AAPX,AMEX,2026-01-10 09:43:05.694856
AMEX,AAPX,d,2026-01-05,30.19,30.28,29.12,29.4,156000,AAPX,AMEX,2026-01-10 09:43:05.694856
AMEX,AAPX,d,2026-01-06,29.29,29.33,28.26,28.29,128600,AAPX,AMEX,2026-01-10 09:43:05.694856
AMEX,AAPX,d,2026-01-07,28.43,28.57,27.74,27.82,91400,AAPX,AMEX,2026-01-10 09:43:05.694856
AMEX,AAPX,d,2026-01-08,27.18,27.6,26.89,27.6,159100,AAPX,AMEX,2026-01-10 09:43:05.694856
AMEX,AAPX,d,2026-01-09,27.54,27.77,26.945,27.62,124900,AAPX,AMEX,2026-01-10 09:43:05.694856
