exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
AMEX,AAAA,d,2025-12-10,27.42,27.6171,27.41,27.6171,7400,AAAA,AMEX,2026-01-11 15:51:54.444146
AMEX,AAAA,d,2025-12-11,27.58,27.66,27.468,27.6461,1400,AAAA,AMEX,2026-01-11 15:51:54.444146
AMEX,AAAA,d,2025-12-12,27.618,27.64,27.394,27.394,1800,AAAA,AMEX,2026-01-11 15:51:54.444146
AMEX,AAAA,d,2025-12-15,27.52,27.52,27.35,27.3744,26300,AAAA,AMEX,2026-01-11 15:51:54.444146
AMEX,AAAA,d,2025-12-16,27.37,27.37,27.23,27.3148,1100,AAAA,AMEX,2026-01-11 15:51:54.444146
AMEX,AAAA,d,2025-12-17,27.3185,27.33,27.0662,27.0662,2100,AAAA,AMEX,2026-01-11 15:51:54.444146
AMEX,AAAA,d,2025-12-18,27.27,27.37,27.24,27.25,15600,AAAA,AMEX,2026-01-11 15:51:54.444146
AMEX,AAAA,d,2025-12-19,27.33,27.45,27.33,27.45,14100,AAAA,AMEX,2026-01-11 15:51:54.444146
AMEX,AAAA,d,2025-12-22,27.53,27.56,27.51,27.56,2862,AAAA,AMEX,2026-01-11 15:51:54.444146
AMEX,AAAA,d,2025-12-23,27.6,27.7,27.58,27.69,28800,AAAA,AMEX,2026-01-11 15:51:54.444146
AMEX,AAAA,d,2025-12-24,27.68,27.78,27.68,27.78,500,AAAA,AMEX,2026-01-11 15:51:54.444146
AMEX,AAAA,d,2025-12-26,27.77,27.77,27.73,27.7393,700,AAAA,AMEX,2026-01-11 15:51:54.444146
AMEX,AAAA,d,2025-12-29,27.71,27.71,27.6395,27.6594,200,AAAA,AMEX,2026-01-11 15:51:54.444146
AMEX,AAAA,d,2025-12-30,27.51,27.51,27.45,27.4791,1300,AAAA,AMEX,2026-01-11 15:51:54.444146
AMEX,AAAA,d,2025-12-31,27.46,27.46,27.3418,27.3418,5000,AAAA,AMEX,2026-01-11 15:51:54.444146
AMEX,AAAA,d,2026-01-02,27.55,27.55,27.37,27.428,1900,AAAA,AMEX,2026-01-11 15:51:54.444146
AMEX,AAAA,d,2026-01-05,27.6435,27.6435,27.6083,27.6083,2400,AAAA,AMEX,2026-01-11 15:51:54.444146
AMEX,AAAA,d,2026-01-06,27.69,27.74,27.65,27.7317,8500,AAAA,AMEX,2026-01-11 15:51:54.444146
AMEX,AAAA,d,2026-01-07,27.69,27.73,27.6646,27.6646,900,AAAA,AMEX,2026-01-11 15:51:54.444146
AMEX,AAAA,d,2026-01-08,27.65,27.6705,27.65,27.6705,200,AAAA,AMEX,2026-01-11 15:51:54.444146
AMEX,AAAA,d,2026-01-09,27.77,27.8299,27.74,27.8299,4700,AAAA,AMEX,2026-01-11 15:51:54.444146
