exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
AMEX,AAPR,d,2025-12-10,28.23,28.29,28.23,28.29,1600,AAPR,AMEX,2026-01-11 15:52:59.792145
AMEX,AAPR,d,2025-12-11,28.26,28.2978,28.26,28.28,1700,AAPR,AMEX,2026-01-11 15:52:59.792145
AMEX,AAPR,d,2025-12-12,28.34,28.34,28.22,28.255,2900,AAPR,AMEX,2026-01-11 15:52:59.792145
AMEX,AAPR,d,2025-12-15,28.25,28.285,28.25,28.285,7200,AAPR,AMEX,2026-01-11 15:52:59.792145
AMEX,AAPR,d,2025-12-16,28.26,28.28,28.24,28.2791,1300,AAPR,AMEX,2026-01-11 15:52:59.792145
AMEX,AAPR,d,2025-12-17,28.275,28.275,28.2101,28.2356,1100,AAPR,AMEX,2026-01-11 15:52:59.792145
AMEX,AAPR,d,2025-12-18,28.265,28.28,28.265,28.2754,500,AAPR,AMEX,2026-01-11 15:52:59.792145
AMEX,AAPR,d,2025-12-19,28.29,28.33,28.29,28.33,3000,AAPR,AMEX,2026-01-11 15:52:59.792145
AMEX,AAPR,d,2025-12-22,28.34,28.35,28.34,28.35,2184,AAPR,AMEX,2026-01-11 15:52:59.792145
AMEX,AAPR,d,2025-12-23,28.395,28.395,28.395,28.395,100,AAPR,AMEX,2026-01-11 15:52:59.792145
AMEX,AAPR,d,2025-12-24,28.37,28.41,28.37,28.41,300,AAPR,AMEX,2026-01-11 15:52:59.792145
AMEX,AAPR,d,2025-12-26,28.41,28.415,28.41,28.415,900,AAPR,AMEX,2026-01-11 15:52:59.792145
AMEX,AAPR,d,2025-12-29,28.415,28.415,28.415,28.415,100,AAPR,AMEX,2026-01-11 15:52:59.792145
AMEX,AAPR,d,2025-12-30,28.44,28.44,28.4246,28.4246,900,AAPR,AMEX,2026-01-11 15:52:59.792145
AMEX,AAPR,d,2025-12-31,28.3901,28.4143,28.3901,28.4143,300,AAPR,AMEX,2026-01-11 15:52:59.792145
AMEX,AAPR,d,2026-01-02,28.42,28.425,28.39,28.425,1500,AAPR,AMEX,2026-01-11 15:52:59.792145
AMEX,AAPR,d,2026-01-05,28.45,28.45,28.45,28.45,100,AAPR,AMEX,2026-01-11 15:52:59.792145
AMEX,AAPR,d,2026-01-06,28.475,28.475,28.475,28.475,100,AAPR,AMEX,2026-01-11 15:52:59.792145
AMEX,AAPR,d,2026-01-07,28.43,28.465,28.43,28.465,300,AAPR,AMEX,2026-01-11 15:52:59.792145
AMEX,AAPR,d,2026-01-08,28.44,28.48,28.44,28.465,400,AAPR,AMEX,2026-01-11 15:52:59.792145
AMEX,AAPR,d,2026-01-09,28.4675,28.495,28.4675,28.495,700,AAPR,AMEX,2026-01-11 15:52:59.792145
