exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
AMEX,ABLD,d,2025-12-10,29.07,29.3284,29.07,29.3,4600,ABLD,AMEX,2026-01-11 15:56:48.389205
AMEX,ABLD,d,2025-12-11,29.37,29.55,29.37,29.48,4500,ABLD,AMEX,2026-01-11 15:56:48.389205
AMEX,ABLD,d,2025-12-12,29.56,29.56,29.37,29.38,4500,ABLD,AMEX,2026-01-11 15:56:48.389205
AMEX,ABLD,d,2025-12-15,29.44,29.44,29.36,29.44,3300,ABLD,AMEX,2026-01-11 15:56:48.389205
AMEX,ABLD,d,2025-12-16,29.33,29.33,29.0,29.01,5800,ABLD,AMEX,2026-01-11 15:56:48.389205
AMEX,ABLD,d,2025-12-17,29.19,29.2299,29.01,29.08,5700,ABLD,AMEX,2026-01-11 15:56:48.389205
AMEX,ABLD,d,2025-12-18,29.22,29.22,29.005,29.037,2600,ABLD,AMEX,2026-01-11 15:56:48.389205
AMEX,ABLD,d,2025-12-19,29.03,29.06,29.0066,29.0066,2400,ABLD,AMEX,2026-01-11 15:56:48.389205
AMEX,ABLD,d,2025-12-22,28.9202,28.9799,28.9202,28.9799,2104,ABLD,AMEX,2026-01-11 15:56:48.389205
AMEX,ABLD,d,2025-12-23,29.15,29.26,29.15,29.25,3100,ABLD,AMEX,2026-01-11 15:56:48.389205
AMEX,ABLD,d,2025-12-24,29.24,29.34,29.24,29.31,3000,ABLD,AMEX,2026-01-11 15:56:48.389205
AMEX,ABLD,d,2025-12-26,29.28,29.28,29.18,29.27,8800,ABLD,AMEX,2026-01-11 15:56:48.389205
AMEX,ABLD,d,2025-12-29,29.22,29.25,29.2,29.23,4400,ABLD,AMEX,2026-01-11 15:56:48.389205
AMEX,ABLD,d,2025-12-30,29.37,29.42,29.262,29.2753,1200,ABLD,AMEX,2026-01-11 15:56:48.389205
AMEX,ABLD,d,2025-12-31,29.18,29.18,29.09,29.09,9100,ABLD,AMEX,2026-01-11 15:56:48.389205
AMEX,ABLD,d,2026-01-02,29.1,29.35,29.1,29.3239,5700,ABLD,AMEX,2026-01-11 15:56:48.389205
AMEX,ABLD,d,2026-01-05,29.41,29.6804,29.41,29.62,4800,ABLD,AMEX,2026-01-11 15:56:48.389205
AMEX,ABLD,d,2026-01-06,29.7101,29.91,29.7101,29.8636,2200,ABLD,AMEX,2026-01-11 15:56:48.389205
AMEX,ABLD,d,2026-01-07,29.98,29.98,29.62,29.6468,1900,ABLD,AMEX,2026-01-11 15:56:48.389205
AMEX,ABLD,d,2026-01-08,29.52,29.97,29.52,29.945,2100,ABLD,AMEX,2026-01-11 15:56:48.389205
AMEX,ABLD,d,2026-01-09,29.98,30.2,29.98,30.19,5500,ABLD,AMEX,2026-01-11 15:56:48.389205
