exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
AMEX,ABXB,d,2025-12-10,19.8166,19.8166,19.8166,19.8166,100,ABXB,AMEX,2026-01-11 15:45:31.995021
AMEX,ABXB,d,2025-12-11,19.8177,19.8177,19.8151,19.8151,500,ABXB,AMEX,2026-01-11 15:45:31.995021
AMEX,ABXB,d,2025-12-12,19.795,19.795,19.795,19.795,100,ABXB,AMEX,2026-01-11 15:45:31.995021
AMEX,ABXB,d,2025-12-15,19.817,19.817,19.817,19.817,100,ABXB,AMEX,2026-01-11 15:45:31.995021
AMEX,ABXB,d,2025-12-16,19.8,19.84,19.8,19.84,100,ABXB,AMEX,2026-01-11 15:45:31.995021
AMEX,ABXB,d,2025-12-17,19.815,19.815,19.815,19.815,100,ABXB,AMEX,2026-01-11 15:45:31.995021
AMEX,ABXB,d,2025-12-18,19.86,19.8656,19.86,19.8656,500,ABXB,AMEX,2026-01-11 15:45:31.995021
AMEX,ABXB,d,2025-12-19,19.86,19.86,19.86,19.86,200,ABXB,AMEX,2026-01-11 15:45:31.995021
AMEX,ABXB,d,2025-12-22,19.8575,19.8575,19.8575,19.86,0,ABXB,AMEX,2026-01-11 15:45:31.995021
AMEX,ABXB,d,2025-12-23,19.865,19.865,19.865,19.865,100,ABXB,AMEX,2026-01-11 15:45:31.995021
AMEX,ABXB,d,2025-12-24,19.9019,19.9019,19.9019,19.9019,100,ABXB,AMEX,2026-01-11 15:45:31.995021
AMEX,ABXB,d,2025-12-26,19.895,19.9027,19.895,19.9027,200,ABXB,AMEX,2026-01-11 15:45:31.995021
AMEX,ABXB,d,2025-12-29,19.92,19.92,19.9085,19.92,500,ABXB,AMEX,2026-01-11 15:45:31.995021
AMEX,ABXB,d,2025-12-30,19.65,20.0,19.61,19.635,2900,ABXB,AMEX,2026-01-11 15:45:31.995021
AMEX,ABXB,d,2025-12-31,19.6028,19.6028,19.6028,19.6028,100,ABXB,AMEX,2026-01-11 15:45:31.995021
AMEX,ABXB,d,2026-01-02,19.5955,19.5955,19.5955,19.5955,100,ABXB,AMEX,2026-01-11 15:45:31.995021
AMEX,ABXB,d,2026-01-05,19.62,19.6264,19.62,19.6264,500,ABXB,AMEX,2026-01-11 15:45:31.995021
AMEX,ABXB,d,2026-01-06,19.62,19.62,19.62,19.62,100,ABXB,AMEX,2026-01-11 15:45:31.995021
AMEX,ABXB,d,2026-01-07,19.63,19.63,19.6058,19.6058,700,ABXB,AMEX,2026-01-11 15:45:31.995021
AMEX,ABXB,d,2026-01-08,19.58,19.595,19.58,19.595,1900,ABXB,AMEX,2026-01-11 15:45:31.995021
AMEX,ABXB,d,2026-01-09,19.62,19.635,19.62,19.635,500,ABXB,AMEX,2026-01-11 15:45:31.995021
