exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
AMEX,ACEI,d,2025-12-10,25.25,25.25,24.87,24.94,7000,ACEI,AMEX,2026-01-11 16:00:37.378434
AMEX,ACEI,d,2025-12-11,24.88,24.88,24.4575,24.7806,25500,ACEI,AMEX,2026-01-11 16:00:37.378434
AMEX,ACEI,d,2025-12-12,24.78,24.785,24.545,24.642,8300,ACEI,AMEX,2026-01-11 16:00:37.378434
AMEX,ACEI,d,2025-12-15,24.56,24.7,24.56,24.627,21200,ACEI,AMEX,2026-01-11 16:00:37.378434
AMEX,ACEI,d,2025-12-16,24.56,24.59,24.5,24.5769,7600,ACEI,AMEX,2026-01-11 16:00:37.378434
AMEX,ACEI,d,2025-12-17,24.58,24.6,24.4542,24.4542,11300,ACEI,AMEX,2026-01-11 16:00:37.378434
AMEX,ACEI,d,2025-12-18,24.53,24.55,24.477,24.5049,9300,ACEI,AMEX,2026-01-11 16:00:37.378434
AMEX,ACEI,d,2025-12-19,24.671,24.73,24.64,24.7035,11600,ACEI,AMEX,2026-01-11 16:00:37.378434
AMEX,ACEI,d,2025-12-22,24.85,24.9,24.7217,24.81,14755,ACEI,AMEX,2026-01-11 16:00:37.378434
AMEX,ACEI,d,2025-12-23,24.64,24.91,24.64,24.8229,12500,ACEI,AMEX,2026-01-11 16:00:37.378434
AMEX,ACEI,d,2025-12-24,24.91,24.95,24.8455,24.8455,8700,ACEI,AMEX,2026-01-11 16:00:37.378434
AMEX,ACEI,d,2025-12-26,24.91,24.98,24.86,24.9119,5400,ACEI,AMEX,2026-01-11 16:00:37.378434
AMEX,ACEI,d,2025-12-29,25.03,25.06,24.88,24.9419,10500,ACEI,AMEX,2026-01-11 16:00:37.378434
AMEX,ACEI,d,2025-12-30,24.84,24.99,24.84,24.9178,4200,ACEI,AMEX,2026-01-11 16:00:37.378434
AMEX,ACEI,d,2025-12-31,24.72,24.72,24.6001,24.6371,1700,ACEI,AMEX,2026-01-11 16:00:37.378434
AMEX,ACEI,d,2026-01-02,24.76,24.76,24.3367,24.3367,12300,ACEI,AMEX,2026-01-11 16:00:37.378434
AMEX,ACEI,d,2026-01-05,24.65,24.7,24.42,24.59,54300,ACEI,AMEX,2026-01-11 16:00:37.378434
AMEX,ACEI,d,2026-01-06,24.75,24.75,24.59,24.65,18700,ACEI,AMEX,2026-01-11 16:00:37.378434
AMEX,ACEI,d,2026-01-07,24.61,24.72,24.53,24.6668,29500,ACEI,AMEX,2026-01-11 16:00:37.378434
AMEX,ACEI,d,2026-01-08,24.6,24.7,24.5528,24.635,21700,ACEI,AMEX,2026-01-11 16:00:37.378434
AMEX,ACEI,d,2026-01-09,24.83,24.83,24.5008,24.73,49600,ACEI,AMEX,2026-01-11 16:00:37.378434
