exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
AMEX,AAA,d,2025-12-15,24.95,25.03,24.95,25.03,10500,AAA,AMEX,2026-01-14 08:45:50.278544
AMEX,AAA,d,2025-12-16,25.03,25.07,25.03,25.07,4300,AAA,AMEX,2026-01-14 08:45:50.278544
AMEX,AAA,d,2025-12-17,25.0209,25.05,25.0209,25.05,1500,AAA,AMEX,2026-01-14 08:45:50.278544
AMEX,AAA,d,2025-12-18,25.06,25.06,25.0,25.0,7400,AAA,AMEX,2026-01-14 08:45:50.278544
AMEX,AAA,d,2025-12-19,25.05,25.05,24.96,24.96,17100,AAA,AMEX,2026-01-14 08:45:50.278544
AMEX,AAA,d,2025-12-22,24.96,25.08,24.92,24.93,18772,AAA,AMEX,2026-01-14 08:45:50.278544
AMEX,AAA,d,2025-12-23,25.0,25.08,24.975,25.08,3600,AAA,AMEX,2026-01-14 08:45:50.278544
AMEX,AAA,d,2025-12-24,25.1,25.1,25.01,25.02,800,AAA,AMEX,2026-01-14 08:45:50.278544
AMEX,AAA,d,2025-12-26,24.97,24.97,24.96,24.9617,1500,AAA,AMEX,2026-01-14 08:45:50.278544
AMEX,AAA,d,2025-12-29,24.94,25.0,24.94,24.99,12000,AAA,AMEX,2026-01-14 08:45:50.278544
AMEX,AAA,d,2025-12-30,24.984,25.0,24.984,25.0,3300,AAA,AMEX,2026-01-14 08:45:50.278544
AMEX,AAA,d,2025-12-31,24.95,25.02,24.92,25.0,23800,AAA,AMEX,2026-01-14 08:45:50.278544
AMEX,AAA,d,2026-01-02,24.98,25.0,24.95,24.95,6300,AAA,AMEX,2026-01-14 08:45:50.278544
AMEX,AAA,d,2026-01-05,24.96,24.99,24.957,24.98,7900,AAA,AMEX,2026-01-14 08:45:50.278544
AMEX,AAA,d,2026-01-06,24.97,25.0,24.96,25.0,7300,AAA,AMEX,2026-01-14 08:45:50.278544
AMEX,AAA,d,2026-01-07,24.9999,25.0,24.93,24.955,14300,AAA,AMEX,2026-01-14 08:45:50.278544
AMEX,AAA,d,2026-01-08,24.96,24.97,24.93,24.95,3900,AAA,AMEX,2026-01-14 08:45:50.278544
AMEX,AAA,d,2026-01-09,24.92,24.95,24.92,24.945,6100,AAA,AMEX,2026-01-14 08:45:50.278544
AMEX,AAA,d,2026-01-12,24.94,25.039,24.94,25.039,8926,AAA,AMEX,2026-01-14 08:45:50.278544
AMEX,AAA,d,2026-01-13,25.0,25.08,24.96,25.015,12800,AAA,AMEX,2026-01-14 08:45:50.278544
