exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
AMEX,ACCS,d,2025-12-15,9.1,9.1451,8.65,8.65,13600,ACCS,AMEX,2026-01-14 08:54:34.417299
AMEX,ACCS,d,2025-12-16,8.65,9.11,8.65,8.67,25900,ACCS,AMEX,2026-01-14 08:54:34.417299
AMEX,ACCS,d,2025-12-17,8.75,8.875,8.75,8.75,2800,ACCS,AMEX,2026-01-14 08:54:34.417299
AMEX,ACCS,d,2025-12-18,8.83,9.27,8.65,8.65,33100,ACCS,AMEX,2026-01-14 08:54:34.417299
AMEX,ACCS,d,2025-12-19,8.7,8.77,8.6,8.75,14000,ACCS,AMEX,2026-01-14 08:54:34.417299
AMEX,ACCS,d,2025-12-22,8.75,9.05,8.75,8.99,2561,ACCS,AMEX,2026-01-14 08:54:34.417299
AMEX,ACCS,d,2025-12-23,9.1,9.1,8.97,8.97,1700,ACCS,AMEX,2026-01-14 08:54:34.417299
AMEX,ACCS,d,2025-12-24,8.9,8.9,8.875,8.875,900,ACCS,AMEX,2026-01-14 08:54:34.417299
AMEX,ACCS,d,2025-12-26,8.5,8.8788,8.5,8.58,6000,ACCS,AMEX,2026-01-14 08:54:34.417299
AMEX,ACCS,d,2025-12-29,8.505,8.99,8.505,8.55,4700,ACCS,AMEX,2026-01-14 08:54:34.417299
AMEX,ACCS,d,2025-12-30,8.55,8.98,8.55,8.55,4200,ACCS,AMEX,2026-01-14 08:54:34.417299
AMEX,ACCS,d,2025-12-31,8.55,9.3,8.55,9.3,8600,ACCS,AMEX,2026-01-14 08:54:34.417299
AMEX,ACCS,d,2026-01-02,9.28,10.19,9.15,9.81,15700,ACCS,AMEX,2026-01-14 08:54:34.417299
AMEX,ACCS,d,2026-01-05,9.95,9.95,9.3632,9.6,10400,ACCS,AMEX,2026-01-14 08:54:34.417299
AMEX,ACCS,d,2026-01-06,9.65,9.88,9.35,9.47,8200,ACCS,AMEX,2026-01-14 08:54:34.417299
AMEX,ACCS,d,2026-01-07,9.04,9.04,9.04,9.04,1000,ACCS,AMEX,2026-01-14 08:54:34.417299
AMEX,ACCS,d,2026-01-08,9.44,9.5397,9.1,9.19,6300,ACCS,AMEX,2026-01-14 08:54:34.417299
AMEX,ACCS,d,2026-01-09,9.8,10.53,9.0001,9.11,102300,ACCS,AMEX,2026-01-14 08:54:34.417299
AMEX,ACCS,d,2026-01-12,9.685,11.34,9.685,10.8,48837,ACCS,AMEX,2026-01-14 08:54:34.417299
AMEX,ACCS,d,2026-01-13,10.8,11.25,9.65,10.74,138000,ACCS,AMEX,2026-01-14 08:54:34.417299
