exchangeCode,symbolCode,interval,date,open,high,low,close,adjusted_close,volume,symbol,exchange,download_timestamp
CC,10SET-USD,d,2025-12-03,0.0368,0.0368,0.0368,0.0368,0.0368,111911,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2025-12-04,0.0384,0.0386,0.0383,0.0384,0.0384,112104,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2025-12-05,0.0376,0.0376,0.0376,0.0376,0.0376,111813,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2025-12-08,0.037,0.037,0.037,0.037,0.037,115288,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2025-12-09,0.0365,0.0365,0.0365,0.0365,0.0365,126418,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2025-12-10,0.0363,0.0363,0.0358,0.0359,0.0359,129177,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2025-12-11,0.0359,0.036,0.0348,0.0348,0.0348,128380,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2025-12-12,0.0356,0.0359,0.0352,0.0355,0.0355,130844,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2025-12-15,0.0352,0.0352,0.0352,0.0352,0.0352,131096,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2025-12-16,0.0343,0.0343,0.0341,0.0342,0.0342,123317,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2025-12-17,0.0347,0.0347,0.0347,0.0347,0.0347,126374,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2025-12-18,0.0336,0.0336,0.0336,0.0336,0.0336,127170,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2025-12-19,0.0331,0.0331,0.0331,0.0331,0.0331,130258,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2025-12-22,0.0339,0.0339,0.0339,0.0339,0.0339,133598,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2025-12-23,0.0336,0.0337,0.0334,0.0334,0.0334,133724,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2025-12-24,0.0329,0.0329,0.0329,0.0329,0.0329,133199,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2025-12-25,0.033,0.033,0.0329,0.0329,0.0329,133490,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2025-12-26,0.0322,0.0322,0.0322,0.0322,0.0322,138695,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2025-12-29,0.0331,0.0333,0.033,0.0333,0.0333,134253,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2025-12-30,0.0321,0.0321,0.0321,0.0321,0.0321,142534,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2025-12-31,0.0323,0.0323,0.0322,0.0322,0.0322,137461,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2026-01-01,0.0317,0.032,0.0317,0.0319,0.0319,143445,10SET-USD,CC,2026-01-04 15:26:24.644472
CC,10SET-USD,d,2026-01-02,0.0316,0.0316,0.0316,0.0316,0.0316,138489,10SET-USD,CC,2026-01-04 15:26:24.644472
