exchangeCode,symbolCode,interval,date,open,high,low,close,adjusted_close,volume,symbol,exchange,download_timestamp
CC,AAVE-USD,d,2025-12-03,190.0339,200.2473,189.8474,198.4582,198.4582,309725057,AAVE-USD,CC,2026-01-04 15:33:00.303146
CC,AAVE-USD,d,2025-12-05,190.5207,193.2773,182.1092,183.7896,183.7896,211641288,AAVE-USD,CC,2026-01-04 15:33:00.303146
CC,AAVE-USD,d,2025-12-08,187.2555,199.6155,186.4265,191.6308,191.6308,383291008,AAVE-USD,CC,2026-01-04 15:33:00.303146
CC,AAVE-USD,d,2025-12-09,191.6308,205.7554,187.7302,202.7221,202.7221,488163704,AAVE-USD,CC,2026-01-04 15:33:00.303146
CC,AAVE-USD,d,2025-12-12,202.2038,206.2549,189.8962,191.4884,191.4884,402612046,AAVE-USD,CC,2026-01-04 15:33:00.303146
CC,AAVE-USD,d,2025-12-15,188.5756,196.2662,180.2936,193.7493,193.7493,448371673,AAVE-USD,CC,2026-01-04 15:33:00.303146
CC,AAVE-USD,d,2025-12-17,186.0958,192.2938,177.1003,179.5944,179.5944,334938833,AAVE-USD,CC,2026-01-04 15:33:00.303146
CC,AAVE-USD,d,2025-12-18,179.5955,184.7814,169.9491,173.5877,173.5877,357623729,AAVE-USD,CC,2026-01-04 15:33:00.303146
CC,AAVE-USD,d,2025-12-19,173.5879,187.0617,172.1597,181.3639,181.3639,300285912,AAVE-USD,CC,2026-01-04 15:33:00.303146
CC,AAVE-USD,d,2025-12-22,164.9121,164.9945,148.3504,150.3553,150.3553,742118344,AAVE-USD,CC,2026-01-04 15:33:00.303146
CC,AAVE-USD,d,2025-12-24,150.5938,151.336,146.6074,148.4658,148.4658,247570827,AAVE-USD,CC,2026-01-04 15:33:00.303146
CC,AAVE-USD,d,2025-12-26,149.0398,156.6431,148.8118,154.1028,154.1028,330113803,AAVE-USD,CC,2026-01-04 15:33:00.303146
CC,AAVE-USD,d,2025-12-30,149.2376,152.2013,148.9614,149.295,149.295,166619275,AAVE-USD,CC,2026-01-04 15:33:00.303146
CC,AAVE-USD,d,2026-01-02,148.6912,165.6395,147.8029,165.0109,165.0109,288400916,AAVE-USD,CC,2026-01-04 15:33:00.303146
