exchangeCode,symbolCode,interval,date,open,high,low,close,adjusted_close,volume,symbol,exchange,download_timestamp
CC,AAPLX-USD,d,2025-12-10,277.2859,277.4785,277.0751,277.4785,277.4785,6174602,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2025-12-11,278.6334,278.6934,276.9766,276.9821,276.9821,6412188,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2025-12-12,279.3918,279.4854,277.6111,278.0904,278.0904,5555688,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2025-12-15,277.7177,277.7177,277.7177,277.7177,277.7177,4913131,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2025-12-16,274.6116,274.6116,272.8119,272.8266,272.8266,5759665,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2025-12-17,274.1126,274.1126,274.1126,274.1126,274.1126,6275719,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2025-12-18,272.2716,272.2716,272.2716,272.2716,272.2716,7681824,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2025-12-19,271.4883,271.4883,271.4883,271.4883,271.4883,9233060,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2025-12-22,272.7455,272.7455,272.7455,272.7455,272.7455,4221423,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2025-12-23,271.3243,271.7013,271.2802,271.623,271.623,5176361,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2025-12-24,272.8084,272.8084,272.8084,272.8084,272.8084,4941437,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2025-12-25,273.5436,274.0336,273.5072,273.9809,273.9809,4555313,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2025-12-26,273.8405,273.8405,273.8405,273.8405,273.8405,4612751,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2025-12-29,273.7278,274.0515,273.2403,273.6759,273.6759,4419839,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2025-12-30,273.7753,273.7753,273.7753,273.7753,273.7753,4565752,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2025-12-31,272.979,272.9918,272.5247,272.6168,272.6168,3793767,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2026-01-01,272.3004,272.3793,272.2477,272.3776,272.3776,4493106,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2026-01-02,272.7087,272.7087,272.7087,272.7087,272.7087,3446839,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2026-01-05,271.4349,271.4349,271.4349,271.4349,271.4349,4202460,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2026-01-06,267.4217,267.4217,267.4217,267.4217,267.4217,5900052,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2026-01-07,262.8293,262.8293,262.8293,262.8293,262.8293,7696448,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2026-01-08,260.9644,261.0065,260.491,260.6427,260.6427,8264445,AAPLX-USD,CC,2026-01-11 15:07:30.938418
CC,AAPLX-USD,d,2026-01-09,259.9782,259.9782,259.9782,259.9782,259.9782,12473004,AAPLX-USD,CC,2026-01-11 15:07:30.938418
