exchangeCode,symbolCode,interval,date,open,high,low,close,adjusted_close,volume,symbol,exchange,download_timestamp
CC,A36462-USD,d,2025-12-15,0.1688,0.1713,0.1573,0.1624,0.1624,23722046,A36462-USD,CC,2026-01-14 09:06:33.902049
CC,A36462-USD,d,2025-12-17,0.1628,0.1648,0.1511,0.1528,0.1528,22804116,A36462-USD,CC,2026-01-14 09:06:33.902049
CC,A36462-USD,d,2025-12-18,0.1528,0.1578,0.1429,0.1474,0.1474,23746546,A36462-USD,CC,2026-01-14 09:06:33.902049
CC,A36462-USD,d,2025-12-19,0.1474,0.1608,0.1466,0.1604,0.1604,23928287,A36462-USD,CC,2026-01-14 09:06:33.902049
CC,A36462-USD,d,2025-12-22,0.1628,0.169,0.1616,0.1651,0.1651,20220113,A36462-USD,CC,2026-01-14 09:06:33.902049
CC,A36462-USD,d,2025-12-24,0.1649,0.1654,0.16,0.1613,0.1613,16608273,A36462-USD,CC,2026-01-14 09:06:33.902049
CC,A36462-USD,d,2025-12-26,0.1531,0.1575,0.1496,0.1506,0.1506,25105367,A36462-USD,CC,2026-01-14 09:06:33.902049
CC,A36462-USD,d,2025-12-30,0.1548,0.1648,0.1536,0.1628,0.1628,36227887,A36462-USD,CC,2026-01-14 09:06:33.902049
CC,A36462-USD,d,2026-01-02,0.1636,0.1726,0.1624,0.1716,0.1716,22660364,A36462-USD,CC,2026-01-14 09:06:33.902049
CC,A36462-USD,d,2026-01-05,0.1779,0.188,0.1751,0.1864,0.1864,26763474,A36462-USD,CC,2026-01-14 09:06:33.902049
CC,A36462-USD,d,2026-01-06,0.1864,0.1915,0.1784,0.186,0.186,27189556,A36462-USD,CC,2026-01-14 09:06:33.902049
CC,A36462-USD,d,2026-01-07,0.186,0.1861,0.1768,0.1787,0.1787,19047608,A36462-USD,CC,2026-01-14 09:06:33.902049
CC,A36462-USD,d,2026-01-09,0.1736,0.177,0.1712,0.1749,0.1749,16868168,A36462-USD,CC,2026-01-14 09:06:33.902049
CC,A36462-USD,d,2026-01-12,0.1705,0.1751,0.1666,0.1682,0.1682,21443056,A36462-USD,CC,2026-01-14 09:06:33.902049
CC,A36462-USD,d,2026-01-13,0.1682,0.1838,0.1678,0.1813,0.1813,27749864,A36462-USD,CC,2026-01-14 09:06:33.902049
