exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
FOREX,AEDCAD,d,2025-12-03,0.3808,0.3808,0.3797,0.3797,0,AEDCAD,FOREX,2026-01-04 15:37:36.017973
FOREX,AEDCAD,d,2025-12-04,0.3795,0.3795,0.3795,0.3795,7,AEDCAD,FOREX,2026-01-04 15:37:36.017973
FOREX,AEDCAD,d,2025-12-05,0.3796,0.3796,0.3796,0.3796,0,AEDCAD,FOREX,2026-01-04 15:37:36.017973
FOREX,AEDCAD,d,2025-12-09,0.3794,0.3794,0.3766,0.3766,3,AEDCAD,FOREX,2026-01-04 15:37:36.017973
FOREX,AEDCAD,d,2025-12-10,0.3766,0.3767,0.3765,0.3765,5,AEDCAD,FOREX,2026-01-04 15:37:36.017973
FOREX,AEDCAD,d,2025-12-11,0.3765,0.3765,0.375,0.375,1,AEDCAD,FOREX,2026-01-04 15:37:36.017973
FOREX,AEDCAD,d,2025-12-12,0.375,0.3751,0.375,0.3751,0,AEDCAD,FOREX,2026-01-04 15:37:36.017973
FOREX,AEDCAD,d,2025-12-15,0.3751,0.3751,0.3746,0.3746,9,AEDCAD,FOREX,2026-01-04 15:37:36.017973
FOREX,AEDCAD,d,2025-12-16,0.3743,0.3743,0.3742,0.3742,0,AEDCAD,FOREX,2026-01-04 15:37:36.017973
FOREX,AEDCAD,d,2025-12-17,0.3743,0.3748,0.3743,0.3748,5,AEDCAD,FOREX,2026-01-04 15:37:36.017973
FOREX,AEDCAD,d,2025-12-18,0.3749,0.3749,0.3748,0.3748,5,AEDCAD,FOREX,2026-01-04 15:37:36.017973
FOREX,AEDCAD,d,2025-12-19,0.3748,0.3752,0.3748,0.3752,0,AEDCAD,FOREX,2026-01-04 15:37:36.017973
FOREX,AEDCAD,d,2025-12-22,0.3752,0.3754,0.3741,0.3741,8,AEDCAD,FOREX,2026-01-04 15:37:36.017973
FOREX,AEDCAD,d,2025-12-23,0.3741,0.3741,0.3734,0.3734,7,AEDCAD,FOREX,2026-01-04 15:37:36.017973
FOREX,AEDCAD,d,2025-12-26,0.3733,0.3733,0.3732,0.3732,0,AEDCAD,FOREX,2026-01-04 15:37:36.017973
FOREX,AEDCAD,d,2025-12-29,0.3732,0.3732,0.3722,0.3723,4,AEDCAD,FOREX,2026-01-04 15:37:36.017973
FOREX,AEDCAD,d,2025-12-30,0.3723,0.3725,0.3723,0.3725,8,AEDCAD,FOREX,2026-01-04 15:37:36.017973
FOREX,AEDCAD,d,2025-12-31,0.3726,0.373,0.3726,0.373,3,AEDCAD,FOREX,2026-01-04 15:37:36.017973
FOREX,AEDCAD,d,2026-01-02,0.373,0.3741,0.373,0.3741,0,AEDCAD,FOREX,2026-01-04 15:37:36.017973
