exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
FOREX,AEDGBP,d,2025-12-03,0.2042,0.2042,0.2041,0.2041,1,AEDGBP,FOREX,2026-01-04 15:39:47.652190
FOREX,AEDGBP,d,2025-12-04,0.2041,0.2041,0.2039,0.2039,8,AEDGBP,FOREX,2026-01-04 15:39:47.652190
FOREX,AEDGBP,d,2025-12-08,0.2039,0.2039,0.2039,0.2039,0,AEDGBP,FOREX,2026-01-04 15:39:47.652190
FOREX,AEDGBP,d,2025-12-09,0.204,0.2045,0.204,0.2045,4,AEDGBP,FOREX,2026-01-04 15:39:47.652190
FOREX,AEDGBP,d,2025-12-10,0.2045,0.2045,0.204,0.204,5,AEDGBP,FOREX,2026-01-04 15:39:47.652190
FOREX,AEDGBP,d,2025-12-11,0.204,0.204,0.2029,0.2029,0,AEDGBP,FOREX,2026-01-04 15:39:47.652190
FOREX,AEDGBP,d,2025-12-12,0.2029,0.2038,0.2029,0.2038,0,AEDGBP,FOREX,2026-01-04 15:39:47.652190
FOREX,AEDGBP,d,2025-12-15,0.2038,0.2038,0.2033,0.2033,7,AEDGBP,FOREX,2026-01-04 15:39:47.652190
FOREX,AEDGBP,d,2025-12-16,0.2027,0.2027,0.2027,0.2027,0,AEDGBP,FOREX,2026-01-04 15:39:47.652190
FOREX,AEDGBP,d,2025-12-17,0.2027,0.2034,0.2027,0.2034,5,AEDGBP,FOREX,2026-01-04 15:39:47.652190
FOREX,AEDGBP,d,2025-12-18,0.2034,0.2034,0.2034,0.2034,5,AEDGBP,FOREX,2026-01-04 15:39:47.652190
FOREX,AEDGBP,d,2025-12-19,0.2035,0.2036,0.2035,0.2036,0,AEDGBP,FOREX,2026-01-04 15:39:47.652190
FOREX,AEDGBP,d,2025-12-22,0.2036,0.2036,0.2023,0.2023,8,AEDGBP,FOREX,2026-01-04 15:39:47.652190
FOREX,AEDGBP,d,2025-12-23,0.2023,0.2023,0.2019,0.2019,5,AEDGBP,FOREX,2026-01-04 15:39:47.652190
FOREX,AEDGBP,d,2025-12-26,0.2019,0.2019,0.2019,0.2019,0,AEDGBP,FOREX,2026-01-04 15:39:47.652190
FOREX,AEDGBP,d,2025-12-29,0.2018,0.2019,0.2017,0.2017,6,AEDGBP,FOREX,2026-01-04 15:39:47.652190
FOREX,AEDGBP,d,2025-12-30,0.2017,0.2021,0.2017,0.2021,9,AEDGBP,FOREX,2026-01-04 15:39:47.652190
FOREX,AEDGBP,d,2025-12-31,0.2021,0.2025,0.2021,0.2025,3,AEDGBP,FOREX,2026-01-04 15:39:47.652190
FOREX,AEDGBP,d,2026-01-02,0.2024,0.2024,0.202,0.202,0,AEDGBP,FOREX,2026-01-04 15:39:47.652190
