exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
FOREX,AEDINR,d,2025-12-03,24.4859,24.5495,24.4859,24.5495,1,AEDINR,FOREX,2026-01-04 15:40:20.547771
FOREX,AEDINR,d,2025-12-04,24.5502,24.5502,24.4506,24.4511,8,AEDINR,FOREX,2026-01-04 15:40:20.547771
FOREX,AEDINR,d,2025-12-05,24.4527,24.4527,24.4527,24.4527,0,AEDINR,FOREX,2026-01-04 15:40:20.547771
FOREX,AEDINR,d,2025-12-08,24.4595,24.4595,24.4595,24.4595,1,AEDINR,FOREX,2026-01-04 15:40:20.547771
FOREX,AEDINR,d,2025-12-09,24.4595,24.4616,24.4595,24.4612,4,AEDINR,FOREX,2026-01-04 15:40:20.547771
FOREX,AEDINR,d,2025-12-10,24.4634,24.4714,24.4634,24.4691,5,AEDINR,FOREX,2026-01-04 15:40:20.547771
FOREX,AEDINR,d,2025-12-11,24.4686,24.549,24.468,24.5485,0,AEDINR,FOREX,2026-01-04 15:40:20.547771
FOREX,AEDINR,d,2025-12-12,24.551,24.6664,24.551,24.666,0,AEDINR,FOREX,2026-01-04 15:40:20.547771
FOREX,AEDINR,d,2025-12-15,24.6655,24.7011,24.6655,24.7007,7,AEDINR,FOREX,2026-01-04 15:40:20.547771
FOREX,AEDINR,d,2025-12-16,24.7557,24.7557,24.7531,24.7531,0,AEDINR,FOREX,2026-01-04 15:40:20.547771
FOREX,AEDINR,d,2025-12-17,24.7543,24.7557,24.6008,24.6008,5,AEDINR,FOREX,2026-01-04 15:40:20.547771
FOREX,AEDINR,d,2025-12-18,24.6023,24.6023,24.555,24.5578,5,AEDINR,FOREX,2026-01-04 15:40:20.547771
FOREX,AEDINR,d,2025-12-19,24.5594,24.5594,24.3795,24.3799,0,AEDINR,FOREX,2026-01-04 15:40:20.547771
FOREX,AEDINR,d,2025-12-22,24.3817,24.3941,24.3817,24.3933,9,AEDINR,FOREX,2026-01-04 15:40:20.547771
FOREX,AEDINR,d,2025-12-23,24.3923,24.3934,24.3635,24.3635,0,AEDINR,FOREX,2026-01-04 15:40:20.547771
FOREX,AEDINR,d,2025-12-24,24.3631,24.3635,24.3631,24.3635,2,AEDINR,FOREX,2026-01-04 15:40:20.547771
FOREX,AEDINR,d,2025-12-29,24.4669,24.4671,24.4664,24.4671,3,AEDINR,FOREX,2026-01-04 15:40:20.547771
FOREX,AEDINR,d,2025-12-30,24.4684,24.4684,24.4425,24.443,8,AEDINR,FOREX,2026-01-04 15:40:20.547771
FOREX,AEDINR,d,2025-12-31,24.4437,24.4685,24.4437,24.4685,4,AEDINR,FOREX,2026-01-04 15:40:20.547771
FOREX,AEDINR,d,2026-01-02,24.4745,24.5282,24.4745,24.5273,0,AEDINR,FOREX,2026-01-04 15:40:20.547771
