exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
FOREX,AEDNOK,d,2025-12-03,2.7607,2.7607,2.7402,2.7403,53,AEDNOK,FOREX,2026-01-04 15:41:26.248118
FOREX,AEDNOK,d,2025-12-04,2.7403,2.7519,2.7399,2.7519,59,AEDNOK,FOREX,2026-01-04 15:41:26.248118
FOREX,AEDNOK,d,2025-12-05,2.7521,2.7531,2.7501,2.7517,0,AEDNOK,FOREX,2026-01-04 15:41:26.248118
FOREX,AEDNOK,d,2025-12-08,2.7516,2.7582,2.7513,2.758,3,AEDNOK,FOREX,2026-01-04 15:41:26.248118
FOREX,AEDNOK,d,2025-12-09,2.7578,2.7628,2.7535,2.7628,0,AEDNOK,FOREX,2026-01-04 15:41:26.248118
FOREX,AEDNOK,d,2025-12-10,2.7629,2.7653,2.7536,2.7536,3,AEDNOK,FOREX,2026-01-04 15:41:26.248118
FOREX,AEDNOK,d,2025-12-11,2.753,2.753,2.7421,2.7421,5,AEDNOK,FOREX,2026-01-04 15:41:26.248118
FOREX,AEDNOK,d,2025-12-12,2.7419,2.7576,2.7403,2.7576,0,AEDNOK,FOREX,2026-01-04 15:41:26.248118
FOREX,AEDNOK,d,2025-12-15,2.7576,2.7636,2.757,2.7633,41,AEDNOK,FOREX,2026-01-04 15:41:26.248118
FOREX,AEDNOK,d,2025-12-16,2.7636,2.7735,2.7636,2.7728,3,AEDNOK,FOREX,2026-01-04 15:41:26.248118
FOREX,AEDNOK,d,2025-12-17,2.7729,2.7832,2.7729,2.7794,23,AEDNOK,FOREX,2026-01-04 15:41:26.248118
FOREX,AEDNOK,d,2025-12-18,2.7793,2.7805,2.7712,2.7712,12,AEDNOK,FOREX,2026-01-04 15:41:26.248118
FOREX,AEDNOK,d,2025-12-19,2.7708,2.7724,2.7634,2.7634,0,AEDNOK,FOREX,2026-01-04 15:41:26.248118
FOREX,AEDNOK,d,2025-12-22,2.7631,2.7631,2.754,2.754,25,AEDNOK,FOREX,2026-01-04 15:41:26.248118
FOREX,AEDNOK,d,2025-12-23,2.7538,2.7538,2.735,2.735,1,AEDNOK,FOREX,2026-01-04 15:41:26.248118
FOREX,AEDNOK,d,2025-12-24,2.7346,2.7346,2.7217,2.7219,36,AEDNOK,FOREX,2026-01-04 15:41:26.248118
FOREX,AEDNOK,d,2025-12-26,2.7221,2.7225,2.7221,2.7225,0,AEDNOK,FOREX,2026-01-04 15:41:26.248118
FOREX,AEDNOK,d,2025-12-29,2.7231,2.7358,2.7231,2.7352,37,AEDNOK,FOREX,2026-01-04 15:41:26.248118
FOREX,AEDNOK,d,2025-12-30,2.7351,2.7392,2.732,2.7366,54,AEDNOK,FOREX,2026-01-04 15:41:26.248118
FOREX,AEDNOK,d,2025-12-31,2.7367,2.744,2.7367,2.744,46,AEDNOK,FOREX,2026-01-04 15:41:26.248118
FOREX,AEDNOK,d,2026-01-02,2.7437,2.7439,2.7401,2.7404,0,AEDNOK,FOREX,2026-01-04 15:41:26.248118
