exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
FOREX,AEDPKR,d,2025-12-03,76.3477,76.3477,76.3477,76.3477,0,AEDPKR,FOREX,2026-01-04 15:42:32.047050
FOREX,AEDPKR,d,2025-12-04,76.3681,76.3681,76.3681,76.3681,0,AEDPKR,FOREX,2026-01-04 15:42:32.047050
FOREX,AEDPKR,d,2025-12-05,76.3402,76.3402,76.3402,76.3402,0,AEDPKR,FOREX,2026-01-04 15:42:32.047050
FOREX,AEDPKR,d,2025-12-08,76.3402,76.3402,76.3402,76.3402,0,AEDPKR,FOREX,2026-01-04 15:42:32.047050
FOREX,AEDPKR,d,2025-12-09,76.3953,76.3953,76.3953,76.3953,0,AEDPKR,FOREX,2026-01-04 15:42:32.047050
FOREX,AEDPKR,d,2025-12-10,76.3953,76.3953,76.3273,76.3273,0,AEDPKR,FOREX,2026-01-04 15:42:32.047050
FOREX,AEDPKR,d,2025-12-11,76.3273,76.3273,76.3273,76.3273,0,AEDPKR,FOREX,2026-01-04 15:42:32.047050
FOREX,AEDPKR,d,2025-12-12,76.2524,76.2555,76.2524,76.2555,0,AEDPKR,FOREX,2026-01-04 15:42:32.047050
FOREX,AEDPKR,d,2025-12-15,76.3273,76.3273,76.3251,76.3251,2,AEDPKR,FOREX,2026-01-04 15:42:32.047050
FOREX,AEDPKR,d,2025-12-16,76.3,76.3007,76.3,76.3007,0,AEDPKR,FOREX,2026-01-04 15:42:32.047050
FOREX,AEDPKR,d,2025-12-17,76.3007,76.3075,76.3007,76.3075,1,AEDPKR,FOREX,2026-01-04 15:42:32.047050
FOREX,AEDPKR,d,2025-12-18,76.3075,76.3075,76.3042,76.3042,1,AEDPKR,FOREX,2026-01-04 15:42:32.047050
FOREX,AEDPKR,d,2025-12-19,76.3178,76.3178,76.3178,76.3178,0,AEDPKR,FOREX,2026-01-04 15:42:32.047050
FOREX,AEDPKR,d,2025-12-22,76.3178,76.3178,76.3164,76.3164,1,AEDPKR,FOREX,2026-01-04 15:42:32.047050
FOREX,AEDPKR,d,2025-12-23,76.2759,76.2759,76.275,76.275,0,AEDPKR,FOREX,2026-01-04 15:42:32.047050
FOREX,AEDPKR,d,2025-12-29,76.2749,76.2759,76.2749,76.2759,3,AEDPKR,FOREX,2026-01-04 15:42:32.047050
FOREX,AEDPKR,d,2025-12-30,76.277,76.277,76.277,76.277,0,AEDPKR,FOREX,2026-01-04 15:42:32.047050
FOREX,AEDPKR,d,2026-01-02,76.2479,76.2479,76.2477,76.2477,0,AEDPKR,FOREX,2026-01-04 15:42:32.047050
