exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
FOREX,AEDSAR,d,2025-12-03,1.0222,1.0222,1.0217,1.0219,4,AEDSAR,FOREX,2026-01-04 15:43:04.949760
FOREX,AEDSAR,d,2025-12-04,1.0218,1.022,1.0218,1.0219,65,AEDSAR,FOREX,2026-01-04 15:43:04.949760
FOREX,AEDSAR,d,2025-12-05,1.0219,1.022,1.0218,1.022,0,AEDSAR,FOREX,2026-01-04 15:43:04.949760
FOREX,AEDSAR,d,2025-12-08,1.022,1.0222,1.0219,1.0219,4,AEDSAR,FOREX,2026-01-04 15:43:04.949760
FOREX,AEDSAR,d,2025-12-09,1.022,1.022,1.0217,1.0218,0,AEDSAR,FOREX,2026-01-04 15:43:04.949760
FOREX,AEDSAR,d,2025-12-10,1.0218,1.0219,1.0217,1.0218,3,AEDSAR,FOREX,2026-01-04 15:43:04.949760
FOREX,AEDSAR,d,2025-12-11,1.0218,1.0219,1.0216,1.0218,4,AEDSAR,FOREX,2026-01-04 15:43:04.949760
FOREX,AEDSAR,d,2025-12-12,1.0218,1.0219,1.0216,1.0217,0,AEDSAR,FOREX,2026-01-04 15:43:04.949760
FOREX,AEDSAR,d,2025-12-15,1.0217,1.0218,1.0213,1.0217,52,AEDSAR,FOREX,2026-01-04 15:43:04.949760
FOREX,AEDSAR,d,2025-12-16,1.0217,1.0218,1.0212,1.0213,5,AEDSAR,FOREX,2026-01-04 15:43:04.949760
FOREX,AEDSAR,d,2025-12-17,1.0213,1.0215,1.0212,1.0213,27,AEDSAR,FOREX,2026-01-04 15:43:04.949760
FOREX,AEDSAR,d,2025-12-18,1.0214,1.0214,1.0212,1.0213,20,AEDSAR,FOREX,2026-01-04 15:43:04.949760
FOREX,AEDSAR,d,2025-12-19,1.0214,1.0214,1.0212,1.0214,0,AEDSAR,FOREX,2026-01-04 15:43:04.949760
FOREX,AEDSAR,d,2025-12-22,1.0213,1.0213,1.0208,1.0211,38,AEDSAR,FOREX,2026-01-04 15:43:04.949760
FOREX,AEDSAR,d,2025-12-23,1.0212,1.0215,1.0211,1.0213,1,AEDSAR,FOREX,2026-01-04 15:43:04.949760
FOREX,AEDSAR,d,2025-12-24,1.0213,1.0215,1.0212,1.0213,51,AEDSAR,FOREX,2026-01-04 15:43:04.949760
FOREX,AEDSAR,d,2025-12-26,1.0213,1.0213,1.0213,1.0213,0,AEDSAR,FOREX,2026-01-04 15:43:04.949760
FOREX,AEDSAR,d,2025-12-29,1.0213,1.0214,1.0211,1.0212,56,AEDSAR,FOREX,2026-01-04 15:43:04.949760
FOREX,AEDSAR,d,2025-12-30,1.0212,1.0213,1.0211,1.0212,67,AEDSAR,FOREX,2026-01-04 15:43:04.949760
FOREX,AEDSAR,d,2025-12-31,1.0212,1.0213,1.0211,1.0213,52,AEDSAR,FOREX,2026-01-04 15:43:04.949760
FOREX,AEDSAR,d,2026-01-02,1.0213,1.0213,1.0211,1.0212,0,AEDSAR,FOREX,2026-01-04 15:43:04.949760
