exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
FOREX,AEDSEK,d,2025-12-03,2.5702,2.5702,2.5528,2.5529,5,AEDSEK,FOREX,2026-01-04 15:43:37.831674
FOREX,AEDSEK,d,2025-12-04,2.553,2.5636,2.553,2.5636,53,AEDSEK,FOREX,2026-01-04 15:43:37.831674
FOREX,AEDSEK,d,2025-12-05,2.5638,2.5644,2.5612,2.5612,0,AEDSEK,FOREX,2026-01-04 15:43:37.831674
FOREX,AEDSEK,d,2025-12-08,2.5611,2.5619,2.5595,2.5597,4,AEDSEK,FOREX,2026-01-04 15:43:37.831674
FOREX,AEDSEK,d,2025-12-09,2.5596,2.5596,2.548,2.5497,0,AEDSEK,FOREX,2026-01-04 15:43:37.831674
FOREX,AEDSEK,d,2025-12-10,2.5495,2.5509,2.5293,2.5293,3,AEDSEK,FOREX,2026-01-04 15:43:37.831674
FOREX,AEDSEK,d,2025-12-11,2.5288,2.5288,2.5173,2.5186,28,AEDSEK,FOREX,2026-01-04 15:43:37.831674
FOREX,AEDSEK,d,2025-12-12,2.5186,2.529,2.5183,2.5258,0,AEDSEK,FOREX,2026-01-04 15:43:37.831674
FOREX,AEDSEK,d,2025-12-15,2.5256,2.5296,2.525,2.529,39,AEDSEK,FOREX,2026-01-04 15:43:37.831674
FOREX,AEDSEK,d,2025-12-16,2.5288,2.534,2.5287,2.5316,4,AEDSEK,FOREX,2026-01-04 15:43:37.831674
FOREX,AEDSEK,d,2025-12-17,2.5317,2.5427,2.5317,2.5338,21,AEDSEK,FOREX,2026-01-04 15:43:37.831674
FOREX,AEDSEK,d,2025-12-18,2.5337,2.534,2.5303,2.5303,12,AEDSEK,FOREX,2026-01-04 15:43:37.831674
FOREX,AEDSEK,d,2025-12-19,2.5302,2.5367,2.5264,2.5264,0,AEDSEK,FOREX,2026-01-04 15:43:37.831674
FOREX,AEDSEK,d,2025-12-22,2.5263,2.5263,2.5153,2.5153,27,AEDSEK,FOREX,2026-01-04 15:43:37.831674
FOREX,AEDSEK,d,2025-12-23,2.5152,2.5152,2.4979,2.4979,0,AEDSEK,FOREX,2026-01-04 15:43:37.831674
FOREX,AEDSEK,d,2025-12-24,2.4977,2.4977,2.4939,2.4955,40,AEDSEK,FOREX,2026-01-04 15:43:37.831674
FOREX,AEDSEK,d,2025-12-26,2.4958,2.4958,2.4958,2.4958,0,AEDSEK,FOREX,2026-01-04 15:43:37.831674
FOREX,AEDSEK,d,2025-12-29,2.496,2.5029,2.4959,2.5016,32,AEDSEK,FOREX,2026-01-04 15:43:37.831674
FOREX,AEDSEK,d,2025-12-30,2.5015,2.5051,2.4986,2.5044,52,AEDSEK,FOREX,2026-01-04 15:43:37.831674
FOREX,AEDSEK,d,2025-12-31,2.5044,2.5085,2.5026,2.508,45,AEDSEK,FOREX,2026-01-04 15:43:37.831674
FOREX,AEDSEK,d,2026-01-02,2.5078,2.5133,2.5078,2.5109,0,AEDSEK,FOREX,2026-01-04 15:43:37.831674
