exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
FOREX,AEDZAR,d,2025-12-03,4.6602,4.6668,4.6365,4.64,3076,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-04,4.6396,4.6487,4.6139,4.6268,253243,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-05,4.6269,4.6281,4.6027,4.6087,0,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-07,4.612,4.6123,4.6115,4.6119,1197,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-08,4.6119,4.645,4.608,4.6403,1342,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-09,4.6397,4.6623,4.6317,4.644,0,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-10,4.6428,4.6458,4.6033,4.6121,2595,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-11,4.612,4.6226,4.5821,4.5913,5696,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-12,4.592,4.603,4.5803,4.5972,0,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-14,4.5953,4.5953,4.5919,4.5942,1317,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-15,4.5946,4.6,4.5657,4.5741,299551,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-16,4.5743,4.581,4.5527,4.5621,5841,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-17,4.5624,4.572,4.5467,4.5683,140281,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-18,4.5677,4.5737,4.5507,4.5555,164910,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-19,4.5562,4.5736,4.5521,4.5674,0,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-21,4.565,4.5668,4.5645,4.5647,2199,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-22,4.5646,4.5673,4.544,4.5502,172351,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-23,4.5502,4.5545,4.5378,4.5431,1504,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-24,4.5443,4.5476,4.5239,4.5384,202773,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-25,4.5379,4.5379,4.531,4.531,450,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-26,4.5313,4.5463,4.5243,4.5386,0,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-28,4.5388,4.5394,4.5347,4.539,2314,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-29,4.539,4.557,4.5253,4.5441,289225,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-30,4.544,4.544,4.5122,4.519,274125,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2025-12-31,4.5204,4.5283,4.5024,4.512,235782,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2026-01-01,4.5121,4.514,4.5108,4.5121,1216,AEDZAR,FOREX,2026-01-04 15:44:43.685837
FOREX,AEDZAR,d,2026-01-02,4.5107,4.5107,4.4849,4.4917,0,AEDZAR,FOREX,2026-01-04 15:44:43.685837
