exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
FOREX,ARSAUD,d,2025-12-03,0.001,0.001,0.001,0.001,4,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-04,0.001,0.001,0.001,0.001,143,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-05,0.001,0.0011,0.001,0.0011,0,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-07,0.001,0.001,0.001,0.001,28,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-08,0.001,0.0011,0.001,0.0011,11,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-09,0.0011,0.0011,0.001,0.001,0,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-10,0.001,0.001,0.001,0.001,11,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-11,0.001,0.001,0.001,0.001,10,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-12,0.001,0.001,0.001,0.001,0,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-14,0.001,0.001,0.001,0.001,30,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-15,0.001,0.001,0.001,0.001,162,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-16,0.001,0.0011,0.001,0.001,9,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-17,0.001,0.001,0.001,0.001,68,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-18,0.001,0.001,0.001,0.001,51,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-19,0.001,0.001,0.001,0.001,0,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-21,0.001,0.001,0.001,0.001,29,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-22,0.001,0.001,0.001,0.001,81,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-23,0.001,0.001,0.001,0.001,0,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-24,0.001,0.001,0.001,0.001,103,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-25,0.001,0.001,0.001,0.001,1,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-26,0.001,0.001,0.001,0.001,0,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-28,0.001,0.001,0.001,0.001,11,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-29,0.001,0.001,0.001,0.001,160,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-30,0.001,0.001,0.001,0.001,108,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2025-12-31,0.001,0.001,0.001,0.001,80,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2026-01-01,0.001,0.001,0.001,0.001,2,ARSAUD,FOREX,2026-01-04 15:45:49.454255
FOREX,ARSAUD,d,2026-01-02,0.001,0.001,0.001,0.001,0,ARSAUD,FOREX,2026-01-04 15:45:49.454255
