exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
FOREX,ARSCAD,d,2025-12-03,0.001,0.001,0.001,0.001,0,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-04,0.001,0.001,0.001,0.001,121,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-05,0.001,0.001,0.001,0.001,0,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-07,0.001,0.001,0.001,0.001,1,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-08,0.001,0.001,0.001,0.001,9,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-09,0.001,0.001,0.001,0.001,2,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-10,0.001,0.001,0.001,0.001,4,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-11,0.001,0.001,0.001,0.001,6,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-12,0.001,0.001,0.001,0.001,0,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-14,0.001,0.001,0.001,0.001,12,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-15,0.001,0.001,0.001,0.001,73,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-16,0.001,0.001,0.0009,0.0009,29,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-17,0.0009,0.001,0.0009,0.001,55,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-18,0.001,0.001,0.0009,0.0009,33,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-19,0.0009,0.001,0.0009,0.001,0,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-21,0.001,0.001,0.001,0.001,17,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-22,0.001,0.001,0.0009,0.0009,47,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-23,0.0009,0.0009,0.0009,0.0009,2,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-24,0.0009,0.0009,0.0009,0.0009,56,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-26,0.0009,0.0009,0.0009,0.0009,0,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-28,0.0009,0.0009,0.0009,0.0009,4,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-29,0.0009,0.0009,0.0009,0.0009,104,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-30,0.0009,0.0009,0.0009,0.0009,197,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2025-12-31,0.0009,0.0009,0.0009,0.0009,132,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2026-01-01,0.0009,0.0009,0.0009,0.0009,1,ARSCAD,FOREX,2026-01-04 15:46:55.450756
FOREX,ARSCAD,d,2026-01-02,0.0009,0.0009,0.0009,0.0009,0,ARSCAD,FOREX,2026-01-04 15:46:55.450756
