exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
FOREX,AEDAUD,d,2025-12-10,0.4094,0.4098,0.4094,0.4098,4,AEDAUD,FOREX,2026-01-11 13:25:24.963377
FOREX,AEDAUD,d,2025-12-11,0.4097,0.4097,0.4082,0.4082,0,AEDAUD,FOREX,2026-01-11 13:25:24.963377
FOREX,AEDAUD,d,2025-12-12,0.4095,0.4095,0.4095,0.4095,0,AEDAUD,FOREX,2026-01-11 13:25:24.963377
FOREX,AEDAUD,d,2025-12-15,0.4095,0.4095,0.4095,0.4095,7,AEDAUD,FOREX,2026-01-11 13:25:24.963377
FOREX,AEDAUD,d,2025-12-16,0.4102,0.4102,0.4102,0.4102,0,AEDAUD,FOREX,2026-01-11 13:25:24.963377
FOREX,AEDAUD,d,2025-12-17,0.4102,0.4109,0.4102,0.4109,5,AEDAUD,FOREX,2026-01-11 13:25:24.963377
FOREX,AEDAUD,d,2025-12-18,0.4114,0.4115,0.4114,0.4115,5,AEDAUD,FOREX,2026-01-11 13:25:24.963377
FOREX,AEDAUD,d,2025-12-19,0.4115,0.4116,0.4115,0.4115,0,AEDAUD,FOREX,2026-01-11 13:25:24.963377
FOREX,AEDAUD,d,2025-12-22,0.4114,0.4114,0.4089,0.409,9,AEDAUD,FOREX,2026-01-11 13:25:24.963377
FOREX,AEDAUD,d,2025-12-23,0.4089,0.4089,0.4068,0.4068,5,AEDAUD,FOREX,2026-01-11 13:25:24.963377
FOREX,AEDAUD,d,2025-12-26,0.4067,0.4067,0.4067,0.4067,0,AEDAUD,FOREX,2026-01-11 13:25:24.963377
FOREX,AEDAUD,d,2025-12-29,0.4066,0.4066,0.4066,0.4066,6,AEDAUD,FOREX,2026-01-11 13:25:24.963377
FOREX,AEDAUD,d,2025-12-30,0.4063,0.4063,0.4063,0.4063,6,AEDAUD,FOREX,2026-01-11 13:25:24.963377
FOREX,AEDAUD,d,2025-12-31,0.4063,0.4079,0.4063,0.4079,4,AEDAUD,FOREX,2026-01-11 13:25:24.963377
FOREX,AEDAUD,d,2026-01-02,0.4078,0.4078,0.4074,0.4074,0,AEDAUD,FOREX,2026-01-11 13:25:24.963377
FOREX,AEDAUD,d,2026-01-04,0.4074,0.4074,0.4074,0.4074,1,AEDAUD,FOREX,2026-01-11 13:25:24.963377
FOREX,AEDAUD,d,2026-01-05,0.4074,0.4074,0.4056,0.4056,10,AEDAUD,FOREX,2026-01-11 13:25:24.963377
FOREX,AEDAUD,d,2026-01-06,0.4056,0.4056,0.4043,0.4043,3,AEDAUD,FOREX,2026-01-11 13:25:24.963377
FOREX,AEDAUD,d,2026-01-07,0.4047,0.4047,0.4047,0.4047,4,AEDAUD,FOREX,2026-01-11 13:25:24.963377
FOREX,AEDAUD,d,2026-01-08,0.4047,0.4069,0.4047,0.4069,7,AEDAUD,FOREX,2026-01-11 13:25:24.963377
FOREX,AEDAUD,d,2026-01-09,0.4075,0.4075,0.4075,0.4075,0,AEDAUD,FOREX,2026-01-11 13:25:24.963377
