exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
FOREX,AEDDKK,d,2025-12-15,1.7326,1.7332,1.7302,1.7307,48,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2025-12-16,1.7306,1.7311,1.7281,1.7311,6,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2025-12-17,1.7312,1.7372,1.7312,1.7327,25,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2025-12-18,1.7326,1.7367,1.7324,1.735,15,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2025-12-19,1.7351,1.7372,1.7351,1.736,0,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2025-12-22,1.7361,1.7365,1.7298,1.7298,31,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2025-12-23,1.7297,1.7297,1.724,1.7251,1,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2025-12-24,1.725,1.7262,1.7239,1.7262,42,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2025-12-26,1.7263,1.7264,1.7263,1.7264,0,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2025-12-29,1.7264,1.729,1.7264,1.728,44,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2025-12-30,1.7279,1.7307,1.7271,1.7307,64,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2025-12-31,1.7308,1.7329,1.7307,1.7326,47,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2026-01-02,1.7324,1.735,1.732,1.7348,0,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2026-01-04,1.7349,1.7349,1.7349,1.7349,1,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2026-01-05,1.7349,1.7417,1.7349,1.7364,46,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2026-01-06,1.7364,1.7404,1.7339,1.7404,60,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2026-01-07,1.7404,1.742,1.7395,1.742,23,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2026-01-08,1.742,1.7456,1.7418,1.7453,59,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2026-01-09,1.7453,1.7487,1.7453,1.7487,0,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2026-01-12,1.7483,1.7483,1.7417,1.7436,32,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2026-01-13,1.7437,1.7472,1.7437,1.7472,41,AEDDKK,FOREX,2026-01-14 09:12:57.837985
FOREX,AEDDKK,d,2026-01-14,1.7473,1.7478,1.747,1.747,25,AEDDKK,FOREX,2026-01-14 09:12:57.837985
