exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
FOREX,AEDEUR,d,2025-12-15,0.232,0.232,0.2316,0.2317,44,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2025-12-16,0.2317,0.2317,0.2313,0.2317,5,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2025-12-17,0.2317,0.2325,0.2317,0.2319,25,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2025-12-18,0.2319,0.2324,0.2319,0.2322,15,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2025-12-19,0.2322,0.2325,0.2322,0.2324,0,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2025-12-22,0.2324,0.2324,0.2316,0.2316,31,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2025-12-23,0.2316,0.2316,0.2308,0.231,1,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2025-12-24,0.231,0.2311,0.2308,0.2311,41,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2025-12-26,0.2311,0.2311,0.2311,0.2311,0,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2025-12-29,0.2311,0.2315,0.2311,0.2314,42,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2025-12-30,0.2314,0.2317,0.2312,0.2317,60,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2025-12-31,0.2317,0.232,0.2317,0.2319,43,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2026-01-02,0.2319,0.2323,0.2319,0.2323,0,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2026-01-04,0.2323,0.2323,0.2323,0.2323,1,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2026-01-05,0.2323,0.2332,0.2323,0.2325,44,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2026-01-06,0.2324,0.2329,0.2321,0.2329,60,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2026-01-07,0.2329,0.2331,0.2328,0.2331,22,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2026-01-08,0.2331,0.2336,0.2331,0.2336,57,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2026-01-09,0.2336,0.234,0.2336,0.234,0,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2026-01-12,0.234,0.234,0.2331,0.2333,29,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2026-01-13,0.2333,0.2338,0.2333,0.2338,39,AEDEUR,FOREX,2026-01-14 09:13:30.800786
FOREX,AEDEUR,d,2026-01-14,0.2338,0.2339,0.2338,0.2338,24,AEDEUR,FOREX,2026-01-14 09:13:30.800786
