exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
FOREX,AEDJPY,d,2025-12-15,42.4601,42.4601,42.2111,42.2112,6,AEDJPY,FOREX,2026-01-14 09:15:09.223156
FOREX,AEDJPY,d,2025-12-16,42.1567,42.1567,42.1451,42.1451,0,AEDJPY,FOREX,2026-01-14 09:15:09.223156
FOREX,AEDJPY,d,2025-12-17,42.145,42.322,42.145,42.322,5,AEDJPY,FOREX,2026-01-14 09:15:09.223156
FOREX,AEDJPY,d,2025-12-18,42.3496,42.3523,42.3494,42.3523,5,AEDJPY,FOREX,2026-01-14 09:15:09.223156
FOREX,AEDJPY,d,2025-12-19,42.3622,42.8753,42.3622,42.8751,0,AEDJPY,FOREX,2026-01-14 09:15:09.223156
FOREX,AEDJPY,d,2025-12-22,42.8739,42.8739,42.7471,42.7471,8,AEDJPY,FOREX,2026-01-14 09:15:09.223156
FOREX,AEDJPY,d,2025-12-23,42.7292,42.7292,42.5635,42.5637,5,AEDJPY,FOREX,2026-01-14 09:15:09.223156
FOREX,AEDJPY,d,2025-12-26,42.5639,42.5639,42.5639,42.5639,0,AEDJPY,FOREX,2026-01-14 09:15:09.223156
FOREX,AEDJPY,d,2025-12-29,42.5641,42.5641,42.467,42.4699,6,AEDJPY,FOREX,2026-01-14 09:15:09.223156
FOREX,AEDJPY,d,2025-12-30,42.4749,42.583,42.4749,42.5817,8,AEDJPY,FOREX,2026-01-14 09:15:09.223156
FOREX,AEDJPY,d,2025-12-31,42.7291,42.7291,42.727,42.727,2,AEDJPY,FOREX,2026-01-14 09:15:09.223156
FOREX,AEDJPY,d,2026-01-02,42.7285,42.7298,42.6747,42.6749,0,AEDJPY,FOREX,2026-01-14 09:15:09.223156
FOREX,AEDJPY,d,2026-01-04,42.6751,42.6751,42.6751,42.6751,1,AEDJPY,FOREX,2026-01-14 09:15:09.223156
FOREX,AEDJPY,d,2026-01-05,42.6805,42.6805,42.5664,42.5664,8,AEDJPY,FOREX,2026-01-14 09:15:09.223156
FOREX,AEDJPY,d,2026-01-06,42.6704,42.6704,42.6691,42.6691,3,AEDJPY,FOREX,2026-01-14 09:15:09.223156
FOREX,AEDJPY,d,2026-01-07,42.6695,42.6695,42.6561,42.6571,5,AEDJPY,FOREX,2026-01-14 09:15:09.223156
FOREX,AEDJPY,d,2026-01-08,42.6898,42.6898,42.6888,42.6888,6,AEDJPY,FOREX,2026-01-14 09:15:09.223156
FOREX,AEDJPY,d,2026-01-09,43.0361,43.0361,43.0359,43.0359,0,AEDJPY,FOREX,2026-01-14 09:15:09.223156
FOREX,AEDJPY,d,2026-01-12,43.0355,43.0498,43.035,43.0497,6,AEDJPY,FOREX,2026-01-14 09:15:09.223156
FOREX,AEDJPY,d,2026-01-13,43.0497,43.3142,43.0497,43.3142,4,AEDJPY,FOREX,2026-01-14 09:15:09.223156
