exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
FOREX,ARSBRL,d,2025-12-15,0.0038,0.0038,0.0037,0.0038,733,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2025-12-16,0.0038,0.0038,0.0037,0.0038,25,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2025-12-17,0.0038,0.0038,0.0038,0.0038,393,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2025-12-18,0.0038,0.0038,0.0038,0.0038,361,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2025-12-19,0.0038,0.0038,0.0038,0.0038,0,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2025-12-21,0.0038,0.0038,0.0038,0.0038,1,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2025-12-22,0.0038,0.0039,0.0038,0.0039,701,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2025-12-23,0.0039,0.0039,0.0038,0.0038,9,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2025-12-24,0.0038,0.0038,0.0038,0.0038,444,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2025-12-25,0.0038,0.0038,0.0038,0.0038,8,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2025-12-26,0.0038,0.0038,0.0038,0.0038,0,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2025-12-28,0.0038,0.0038,0.0038,0.0038,0,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2025-12-29,0.0038,0.0039,0.0038,0.0038,855,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2025-12-30,0.0038,0.0038,0.0038,0.0038,895,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2025-12-31,0.0038,0.0038,0.0038,0.0038,604,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2026-01-01,0.0038,0.0038,0.0038,0.0038,11,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2026-01-02,0.0038,0.0038,0.0037,0.0037,0,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2026-01-04,0.0037,0.0037,0.0037,0.0037,1,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2026-01-05,0.0037,0.0037,0.0037,0.0037,863,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2026-01-06,0.0037,0.0037,0.0036,0.0037,953,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2026-01-07,0.0037,0.0037,0.0037,0.0037,314,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2026-01-08,0.0037,0.0037,0.0037,0.0037,684,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2026-01-09,0.0037,0.0037,0.0036,0.0037,0,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2026-01-11,0.0037,0.0037,0.0037,0.0037,1,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2026-01-12,0.0037,0.0037,0.0037,0.0037,483,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2026-01-13,0.0037,0.0037,0.0037,0.0037,623,ARSBRL,FOREX,2026-01-14 09:20:37.268616
FOREX,ARSBRL,d,2026-01-14,0.0037,0.0037,0.0037,0.0037,190,ARSBRL,FOREX,2026-01-14 09:20:37.268616
