exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
INDEX,ADDQ,d,2025-12-03,849.0,1520.0,804.0,1510.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
INDEX,ADDQ,d,2025-12-04,484.0,853.0,340.0,688.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
INDEX,ADDQ,d,2025-12-05,-291.0,347.0,-622.0,-611.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
INDEX,ADDQ,d,2025-12-08,356.0,356.0,-203.0,-119.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
INDEX,ADDQ,d,2025-12-09,59.0,895.0,59.0,447.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
INDEX,ADDQ,d,2025-12-10,-578.0,1180.0,-578.0,768.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
INDEX,ADDQ,d,2025-12-11,-188.0,504.0,-188.0,315.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
INDEX,ADDQ,d,2025-12-12,-878.0,-684.0,-1070.0,-1061.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
INDEX,ADDQ,d,2025-12-15,-552.0,-552.0,-1158.0,-1118.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
INDEX,ADDQ,d,2025-12-16,-229.0,-88.0,-661.0,-333.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
INDEX,ADDQ,d,2025-12-17,683.0,903.0,-1061.0,-1050.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
INDEX,ADDQ,d,2025-12-18,1341.0,1487.0,470.0,470.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
INDEX,ADDQ,d,2025-12-19,632.0,632.0,195.0,295.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
INDEX,ADDQ,d,2025-12-22,1061.0,1299.0,602.0,602.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
INDEX,ADDQ,d,2025-12-23,-1231.0,-901.0,-1233.0,-1177.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
INDEX,ADDQ,d,2025-12-24,-497.0,556.0,-497.0,542.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
INDEX,ADDQ,d,2025-12-26,-739.0,-651.0,-1246.0,-654.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
INDEX,ADDQ,d,2025-12-29,-731.0,-731.0,-1576.0,-1388.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
INDEX,ADDQ,d,2025-12-30,-367.0,-367.0,-1054.0,-1054.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
INDEX,ADDQ,d,2025-12-31,-358.0,-358.0,-1027.0,-851.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
INDEX,ADDQ,d,2026-01-02,366.0,537.0,-17.0,492.0,0,ADDQ,INDEX,2026-01-04 15:51:30.568554
