exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
INDEX,ADDV,d,2025-12-03,44.0,123.0,44.0,88.0,0,ADDV,INDEX,2026-01-04 15:53:42.320568
INDEX,ADDV,d,2025-12-04,-89.0,-65.0,-110.0,-65.0,0,ADDV,INDEX,2026-01-04 15:53:42.320568
INDEX,ADDV,d,2025-12-05,58.0,101.0,-68.0,-44.0,0,ADDV,INDEX,2026-01-04 15:53:42.320568
INDEX,ADDV,d,2025-12-08,-33.0,-33.0,-262.0,-262.0,0,ADDV,INDEX,2026-01-04 15:53:42.320568
INDEX,ADDV,d,2025-12-09,73.0,120.0,73.0,111.0,0,ADDV,INDEX,2026-01-04 15:53:42.320568
INDEX,ADDV,d,2025-12-10,-16.0,-16.0,-142.0,-39.0,0,ADDV,INDEX,2026-01-04 15:53:42.320568
INDEX,ADDV,d,2025-12-11,24.0,127.0,24.0,126.0,0,ADDV,INDEX,2026-01-04 15:53:42.320568
INDEX,ADDV,d,2025-12-12,-100.0,-46.0,-100.0,-46.0,0,ADDV,INDEX,2026-01-04 15:53:42.320568
INDEX,ADDV,d,2025-12-15,4.0,4.0,-194.0,-169.0,0,ADDV,INDEX,2026-01-04 15:53:42.320568
INDEX,ADDV,d,2025-12-16,-83.0,-83.0,-210.0,-144.0,0,ADDV,INDEX,2026-01-04 15:53:42.320568
INDEX,ADDV,d,2025-12-17,125.0,174.0,11.0,14.0,0,ADDV,INDEX,2026-01-04 15:53:42.320568
INDEX,ADDV,d,2025-12-18,-27.0,-7.0,-86.0,-84.0,0,ADDV,INDEX,2026-01-04 15:53:42.320568
INDEX,ADDV,d,2025-12-19,101.0,261.0,101.0,253.0,0,ADDV,INDEX,2026-01-04 15:53:42.320568
INDEX,ADDV,d,2025-12-22,207.0,238.0,181.0,187.0,0,ADDV,INDEX,2026-01-04 15:53:42.320568
INDEX,ADDV,d,2025-12-23,-44.0,34.0,-56.0,34.0,0,ADDV,INDEX,2026-01-04 15:53:42.320568
INDEX,ADDV,d,2025-12-24,-7.0,111.0,-30.0,111.0,0,ADDV,INDEX,2026-01-04 15:53:42.320568
INDEX,ADDV,d,2025-12-29,-4.0,-4.0,-102.0,-39.0,0,ADDV,INDEX,2026-01-04 15:53:42.320568
INDEX,ADDV,d,2025-12-30,134.0,181.0,88.0,122.0,0,ADDV,INDEX,2026-01-04 15:53:42.320568
INDEX,ADDV,d,2025-12-31,-83.0,-42.0,-135.0,-43.0,0,ADDV,INDEX,2026-01-04 15:53:42.320568
INDEX,ADDV,d,2026-01-02,227.0,227.0,84.0,177.0,0,ADDV,INDEX,2026-01-04 15:53:42.320568
