exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
INDEX,ADRA,d,2025-12-03,1.05,1.9,1.05,1.86,0,ADRA,INDEX,2026-01-04 15:54:48.155432
INDEX,ADRA,d,2025-12-04,1.4,1.65,1.24,1.49,0,ADRA,INDEX,2026-01-04 15:54:48.155432
INDEX,ADRA,d,2025-12-05,1.02,1.41,0.64,0.8,0,ADRA,INDEX,2026-01-04 15:54:48.155432
INDEX,ADRA,d,2025-12-08,1.18,1.18,0.58,0.61,0,ADRA,INDEX,2026-01-04 15:54:48.155432
INDEX,ADRA,d,2025-12-09,1.73,2.85,1.73,2.8,0,ADRA,INDEX,2026-01-04 15:54:48.155432
INDEX,ADRA,d,2025-12-10,0.52,1.47,0.52,0.93,0,ADRA,INDEX,2026-01-04 15:54:48.155432
INDEX,ADRA,d,2025-12-11,1.35,2.06,1.35,2.01,0,ADRA,INDEX,2026-01-04 15:54:48.155432
INDEX,ADRA,d,2025-12-12,0.39,0.62,0.39,0.5,0,ADRA,INDEX,2026-01-04 15:54:48.155432
INDEX,ADRA,d,2025-12-15,0.74,0.74,0.39,0.39,0,ADRA,INDEX,2026-01-04 15:54:48.155432
INDEX,ADRA,d,2025-12-16,0.71,0.94,0.71,0.92,0,ADRA,INDEX,2026-01-04 15:54:48.155432
INDEX,ADRA,d,2025-12-17,1.8,1.89,0.61,0.62,0,ADRA,INDEX,2026-01-04 15:54:48.155432
INDEX,ADRA,d,2025-12-18,1.49,1.58,0.82,0.82,0,ADRA,INDEX,2026-01-04 15:54:48.155432
INDEX,ADRA,d,2025-12-19,2.03,2.03,1.37,1.6,0,ADRA,INDEX,2026-01-04 15:54:48.155432
INDEX,ADRA,d,2025-12-22,2.04,2.04,1.35,1.35,0,ADRA,INDEX,2026-01-04 15:54:48.155432
INDEX,ADRA,d,2025-12-23,0.53,0.76,0.51,0.65,0,ADRA,INDEX,2026-01-04 15:54:48.155432
INDEX,ADRA,d,2025-12-24,0.51,0.85,0.51,0.81,0,ADRA,INDEX,2026-01-04 15:54:48.155432
INDEX,ADRA,d,2025-12-26,0.79,0.97,0.5,0.96,0,ADRA,INDEX,2026-01-04 15:54:48.155432
INDEX,ADRA,d,2025-12-29,0.35,0.45,0.26,0.42,0,ADRA,INDEX,2026-01-04 15:54:48.155432
INDEX,ADRA,d,2025-12-30,1.2,1.2,0.58,0.61,0,ADRA,INDEX,2026-01-04 15:54:48.155432
INDEX,ADRA,d,2025-12-31,0.52,0.8,0.51,0.78,0,ADRA,INDEX,2026-01-04 15:54:48.155432
INDEX,ADRA,d,2026-01-02,1.54,1.91,0.92,1.91,0,ADRA,INDEX,2026-01-04 15:54:48.155432
