exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
INDEX,ADRN,d,2025-12-03,3.47,3.47,2.17,2.84,0,ADRN,INDEX,2026-01-04 15:56:27.074066
INDEX,ADRN,d,2025-12-04,1.17,1.32,0.86,0.92,0,ADRN,INDEX,2026-01-04 15:56:27.074066
INDEX,ADRN,d,2025-12-05,0.87,2.28,0.79,0.82,0,ADRN,INDEX,2026-01-04 15:56:27.074066
INDEX,ADRN,d,2025-12-08,0.87,0.87,0.47,0.48,0,ADRN,INDEX,2026-01-04 15:56:27.074066
INDEX,ADRN,d,2025-12-09,1.98,2.83,1.26,1.26,0,ADRN,INDEX,2026-01-04 15:56:27.074066
INDEX,ADRN,d,2025-12-10,1.19,3.98,1.19,2.89,0,ADRN,INDEX,2026-01-04 15:56:27.074066
INDEX,ADRN,d,2025-12-11,1.93,3.1,1.93,2.38,0,ADRN,INDEX,2026-01-04 15:56:27.074066
INDEX,ADRN,d,2025-12-12,0.67,0.74,0.51,0.59,0,ADRN,INDEX,2026-01-04 15:56:27.074066
INDEX,ADRN,d,2025-12-15,1.17,1.17,0.57,0.85,0,ADRN,INDEX,2026-01-04 15:56:27.074066
INDEX,ADRN,d,2025-12-16,0.58,0.72,0.34,0.5,0,ADRN,INDEX,2026-01-04 15:56:27.074066
INDEX,ADRN,d,2025-12-17,1.97,3.14,0.94,0.97,0,ADRN,INDEX,2026-01-04 15:56:27.074066
INDEX,ADRN,d,2025-12-18,2.83,2.89,1.33,1.34,0,ADRN,INDEX,2026-01-04 15:56:27.074066
INDEX,ADRN,d,2025-12-19,1.35,1.43,1.0,1.04,0,ADRN,INDEX,2026-01-04 15:56:27.074066
INDEX,ADRN,d,2025-12-22,2.28,2.82,1.83,2.01,0,ADRN,INDEX,2026-01-04 15:56:27.074066
INDEX,ADRN,d,2025-12-23,0.47,0.81,0.47,0.7,0,ADRN,INDEX,2026-01-04 15:56:27.074066
INDEX,ADRN,d,2025-12-24,0.79,2.5,0.79,2.22,0,ADRN,INDEX,2026-01-04 15:56:27.074066
INDEX,ADRN,d,2025-12-26,0.81,1.01,0.4,1.01,0,ADRN,INDEX,2026-01-04 15:56:27.074066
INDEX,ADRN,d,2025-12-29,0.85,0.85,0.42,0.6,0,ADRN,INDEX,2026-01-04 15:56:27.074066
INDEX,ADRN,d,2025-12-30,0.84,1.05,0.65,0.65,0,ADRN,INDEX,2026-01-04 15:56:27.074066
INDEX,ADRN,d,2025-12-31,0.54,0.54,0.21,0.22,0,ADRN,INDEX,2026-01-04 15:56:27.074066
INDEX,ADRN,d,2026-01-02,0.93,2.35,0.88,1.93,0,ADRN,INDEX,2026-01-04 15:56:27.074066
