exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
INDEX,ADRT,d,2025-12-03,2.23,2.83,1.97,2.82,0,ADRT,INDEX,2026-01-04 15:58:06.082811
INDEX,ADRT,d,2025-12-04,1.29,1.58,1.12,1.29,0,ADRT,INDEX,2026-01-04 15:58:06.082811
INDEX,ADRT,d,2025-12-05,0.83,1.56,0.71,0.72,0,ADRT,INDEX,2026-01-04 15:58:06.082811
INDEX,ADRT,d,2025-12-08,1.1,1.1,0.72,0.72,0,ADRT,INDEX,2026-01-04 15:58:06.082811
INDEX,ADRT,d,2025-12-09,1.33,2.08,1.33,1.34,0,ADRT,INDEX,2026-01-04 15:58:06.082811
INDEX,ADRT,d,2025-12-10,0.81,2.64,0.81,1.95,0,ADRT,INDEX,2026-01-04 15:58:06.082811
INDEX,ADRT,d,2025-12-11,1.19,1.8,1.19,1.57,0,ADRT,INDEX,2026-01-04 15:58:06.082811
INDEX,ADRT,d,2025-12-12,0.58,0.65,0.51,0.52,0,ADRT,INDEX,2026-01-04 15:58:06.082811
INDEX,ADRT,d,2025-12-15,0.84,0.84,0.49,0.58,0,ADRT,INDEX,2026-01-04 15:58:06.082811
INDEX,ADRT,d,2025-12-16,0.74,0.82,0.52,0.68,0,ADRT,INDEX,2026-01-04 15:58:06.082811
INDEX,ADRT,d,2025-12-17,1.81,2.26,0.63,0.64,0,ADRT,INDEX,2026-01-04 15:58:06.082811
INDEX,ADRT,d,2025-12-18,2.63,2.78,1.32,1.32,0,ADRT,INDEX,2026-01-04 15:58:06.082811
INDEX,ADRT,d,2025-12-19,1.54,1.54,1.11,1.16,0,ADRT,INDEX,2026-01-04 15:58:06.082811
INDEX,ADRT,d,2025-12-22,2.27,2.55,1.64,1.64,0,ADRT,INDEX,2026-01-04 15:58:06.082811
INDEX,ADRT,d,2025-12-23,0.43,0.6,0.43,0.53,0,ADRT,INDEX,2026-01-04 15:58:06.082811
INDEX,ADRT,d,2025-12-24,0.72,1.65,0.72,1.63,0,ADRT,INDEX,2026-01-04 15:58:06.082811
INDEX,ADRT,d,2025-12-26,0.67,0.77,0.42,0.77,0,ADRT,INDEX,2026-01-04 15:58:06.082811
INDEX,ADRT,d,2025-12-29,0.67,0.67,0.36,0.45,0,ADRT,INDEX,2026-01-04 15:58:06.082811
INDEX,ADRT,d,2025-12-30,0.8,0.86,0.54,0.54,0,ADRT,INDEX,2026-01-04 15:58:06.082811
INDEX,ADRT,d,2025-12-31,0.66,0.66,0.38,0.42,0,ADRT,INDEX,2026-01-04 15:58:06.082811
INDEX,ADRT,d,2026-01-02,1.16,1.68,0.96,1.57,0,ADRT,INDEX,2026-01-04 15:58:06.082811
