exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
INDEX,ADRX,d,2025-12-03,1.22,1.58,1.22,1.58,0,ADRX,INDEX,2026-01-04 15:59:45.103992
INDEX,ADRX,d,2025-12-04,1.09,1.17,0.99,1.11,0,ADRX,INDEX,2026-01-04 15:59:45.103992
INDEX,ADRX,d,2025-12-05,0.94,1.09,0.6,0.64,0,ADRX,INDEX,2026-01-04 15:59:45.103992
INDEX,ADRX,d,2025-12-08,0.75,0.75,0.48,0.51,0,ADRX,INDEX,2026-01-04 15:59:45.103992
INDEX,ADRX,d,2025-12-09,1.31,1.5,1.11,1.11,0,ADRX,INDEX,2026-01-04 15:59:45.103992
INDEX,ADRX,d,2025-12-10,0.77,1.51,0.77,1.45,0,ADRX,INDEX,2026-01-04 15:59:45.103992
INDEX,ADRX,d,2025-12-11,1.01,1.54,1.01,1.54,0,ADRX,INDEX,2026-01-04 15:59:45.103992
INDEX,ADRX,d,2025-12-12,0.59,0.69,0.59,0.69,0,ADRX,INDEX,2026-01-04 15:59:45.103992
INDEX,ADRX,d,2025-12-15,1.15,1.15,0.84,0.95,0,ADRX,INDEX,2026-01-04 15:59:45.103992
INDEX,ADRX,d,2025-12-16,0.61,0.67,0.53,0.66,0,ADRX,INDEX,2026-01-04 15:59:45.103992
INDEX,ADRX,d,2025-12-17,2.08,2.08,0.8,0.8,0,ADRX,INDEX,2026-01-04 15:59:45.103992
INDEX,ADRX,d,2025-12-18,1.93,2.09,1.44,1.45,0,ADRX,INDEX,2026-01-04 15:59:45.103992
INDEX,ADRX,d,2025-12-19,2.01,2.46,2.0,2.21,0,ADRX,INDEX,2026-01-04 15:59:45.103992
INDEX,ADRX,d,2025-12-22,1.96,1.96,1.66,1.73,0,ADRX,INDEX,2026-01-04 15:59:45.103992
INDEX,ADRX,d,2025-12-23,0.84,1.36,0.84,1.35,0,ADRX,INDEX,2026-01-04 15:59:45.103992
INDEX,ADRX,d,2025-12-24,0.69,1.35,0.69,1.35,0,ADRX,INDEX,2026-01-04 15:59:45.103992
INDEX,ADRX,d,2025-12-29,0.92,0.92,0.78,0.92,0,ADRX,INDEX,2026-01-04 15:59:45.103992
INDEX,ADRX,d,2025-12-30,1.29,1.29,1.0,1.01,0,ADRX,INDEX,2026-01-04 15:59:45.103992
INDEX,ADRX,d,2025-12-31,0.56,0.56,0.51,0.52,0,ADRX,INDEX,2026-01-04 15:59:45.103992
INDEX,ADRX,d,2026-01-02,2.21,2.22,1.31,1.56,0,ADRX,INDEX,2026-01-04 15:59:45.103992
