exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
INDEX,ADRC,d,2025-12-10,1.4,1.4,0.83,0.88,0,ADRC,INDEX,2026-01-11 13:43:21.353198
INDEX,ADRC,d,2025-12-11,1.15,1.15,1.0,1.03,0,ADRC,INDEX,2026-01-11 13:43:21.353198
INDEX,ADRC,d,2025-12-12,0.98,1.0,0.85,0.94,0,ADRC,INDEX,2026-01-11 13:43:21.353198
INDEX,ADRC,d,2025-12-15,1.46,1.46,0.69,0.69,0,ADRC,INDEX,2026-01-11 13:43:21.353198
INDEX,ADRC,d,2025-12-16,1.25,1.27,0.83,0.88,0,ADRC,INDEX,2026-01-11 13:43:21.353198
INDEX,ADRC,d,2025-12-17,2.51,2.51,1.15,1.21,0,ADRC,INDEX,2026-01-11 13:43:21.353198
INDEX,ADRC,d,2025-12-18,1.02,1.02,0.56,0.64,0,ADRC,INDEX,2026-01-11 13:43:21.353198
INDEX,ADRC,d,2025-12-19,1.68,1.68,1.27,1.5,0,ADRC,INDEX,2026-01-11 13:43:21.353198
INDEX,ADRC,d,2025-12-22,1.94,1.94,1.14,1.17,0,ADRC,INDEX,2026-01-11 13:43:21.353198
INDEX,ADRC,d,2025-12-23,1.32,1.39,0.92,1.0,0,ADRC,INDEX,2026-01-11 13:43:21.353198
INDEX,ADRC,d,2025-12-24,1.25,1.47,1.05,1.34,0,ADRC,INDEX,2026-01-11 13:43:21.353198
INDEX,ADRC,d,2025-12-29,1.23,1.23,0.75,0.76,0,ADRC,INDEX,2026-01-11 13:43:21.353198
INDEX,ADRC,d,2025-12-30,1.68,1.68,1.06,1.24,0,ADRC,INDEX,2026-01-11 13:43:21.353198
INDEX,ADRC,d,2025-12-31,1.56,1.56,1.16,1.29,0,ADRC,INDEX,2026-01-11 13:43:21.353198
INDEX,ADRC,d,2026-01-02,2.09,2.17,1.52,1.71,0,ADRC,INDEX,2026-01-11 13:43:21.353198
INDEX,ADRC,d,2026-01-05,1.84,1.84,1.26,1.4,0,ADRC,INDEX,2026-01-11 13:43:21.353198
INDEX,ADRC,d,2026-01-06,1.04,1.1,0.97,0.97,0,ADRC,INDEX,2026-01-11 13:43:21.353198
INDEX,ADRC,d,2026-01-07,1.05,1.05,0.82,1.0,0,ADRC,INDEX,2026-01-11 13:43:21.353198
INDEX,ADRC,d,2026-01-08,1.56,1.56,0.95,1.15,0,ADRC,INDEX,2026-01-11 13:43:21.353198
INDEX,ADRC,d,2026-01-09,1.53,1.53,1.26,1.42,0,ADRC,INDEX,2026-01-11 13:43:21.353198
