exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
INDEX,ADRQ,d,2025-12-10,0.65,2.22,0.65,1.66,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
INDEX,ADRQ,d,2025-12-11,0.87,1.38,0.87,1.22,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
INDEX,ADRQ,d,2025-12-12,0.55,0.63,0.48,0.48,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
INDEX,ADRQ,d,2025-12-15,0.68,0.68,0.45,0.47,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
INDEX,ADRQ,d,2025-12-16,0.85,0.94,0.64,0.8,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
INDEX,ADRQ,d,2025-12-17,1.72,1.89,0.48,0.49,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
INDEX,ADRQ,d,2025-12-18,2.62,2.9,1.36,1.36,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
INDEX,ADRQ,d,2025-12-19,1.66,1.66,1.13,1.21,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
INDEX,ADRQ,d,2025-12-22,2.29,2.5,1.48,1.48,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
INDEX,ADRQ,d,2025-12-23,0.41,0.54,0.41,0.44,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
INDEX,ADRQ,d,2025-12-24,0.69,1.45,0.69,1.44,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
INDEX,ADRQ,d,2025-12-26,0.58,0.65,0.41,0.64,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
INDEX,ADRQ,d,2025-12-29,0.6,0.6,0.32,0.37,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
INDEX,ADRQ,d,2025-12-30,0.76,0.76,0.48,0.48,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
INDEX,ADRQ,d,2025-12-31,0.76,0.76,0.48,0.56,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
INDEX,ADRQ,d,2026-01-02,1.32,1.41,0.98,1.37,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
INDEX,ADRQ,d,2026-01-05,1.87,2.44,1.87,2.07,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
INDEX,ADRQ,d,2026-01-06,0.94,1.49,0.94,1.45,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
INDEX,ADRQ,d,2026-01-07,1.17,1.17,0.82,0.85,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
INDEX,ADRQ,d,2026-01-08,0.9,1.5,0.9,1.39,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
INDEX,ADRQ,d,2026-01-09,0.65,1.31,0.65,0.86,0,ADRQ,INDEX,2026-01-11 13:44:59.647142
