exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
INDEX,ADDC,d,2025-12-15,28.0,28.0,-50.0,-50.0,0,ADDC,INDEX,2026-01-14 09:23:43.781542
INDEX,ADDC,d,2025-12-16,19.0,23.0,-24.0,-17.0,0,ADDC,INDEX,2026-01-14 09:23:43.781542
INDEX,ADDC,d,2025-12-17,62.0,62.0,20.0,28.0,0,ADDC,INDEX,2026-01-14 09:23:43.781542
INDEX,ADDC,d,2025-12-18,2.0,2.0,-82.0,-62.0,0,ADDC,INDEX,2026-01-14 09:23:43.781542
INDEX,ADDC,d,2025-12-19,30.0,59.0,24.0,59.0,0,ADDC,INDEX,2026-01-14 09:23:43.781542
INDEX,ADDC,d,2025-12-22,55.0,55.0,22.0,25.0,0,ADDC,INDEX,2026-01-14 09:23:43.781542
INDEX,ADDC,d,2025-12-23,26.0,32.0,-11.0,1.0,0,ADDC,INDEX,2026-01-14 09:23:43.781542
INDEX,ADDC,d,2025-12-24,15.0,43.0,5.0,34.0,0,ADDC,INDEX,2026-01-14 09:23:43.781542
INDEX,ADDC,d,2025-12-29,23.0,23.0,-49.0,-47.0,0,ADDC,INDEX,2026-01-14 09:23:43.781542
INDEX,ADDC,d,2025-12-30,42.0,42.0,9.0,35.0,0,ADDC,INDEX,2026-01-14 09:23:43.781542
INDEX,ADDC,d,2025-12-31,29.0,37.0,19.0,35.0,0,ADDC,INDEX,2026-01-14 09:23:43.781542
INDEX,ADDC,d,2026-01-02,59.0,83.0,53.0,83.0,0,ADDC,INDEX,2026-01-14 09:23:43.781542
INDEX,ADDC,d,2026-01-05,54.0,68.0,36.0,53.0,0,ADDC,INDEX,2026-01-14 09:23:43.781542
INDEX,ADDC,d,2026-01-06,5.0,15.0,-4.0,-4.0,0,ADDC,INDEX,2026-01-14 09:23:43.781542
INDEX,ADDC,d,2026-01-07,4.0,4.0,-22.0,-4.0,0,ADDC,INDEX,2026-01-14 09:23:43.781542
INDEX,ADDC,d,2026-01-08,30.0,31.0,-7.0,22.0,0,ADDC,INDEX,2026-01-14 09:23:43.781542
INDEX,ADDC,d,2026-01-09,39.0,56.0,35.0,56.0,0,ADDC,INDEX,2026-01-14 09:23:43.781542
INDEX,ADDC,d,2026-01-12,48.0,74.0,34.0,70.0,0,ADDC,INDEX,2026-01-14 09:23:43.781542
INDEX,ADDC,d,2026-01-13,-15.0,14.0,-15.0,9.0,0,ADDC,INDEX,2026-01-14 09:23:43.781542
