exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
INDEX,ADDT,d,2025-12-15,-436.0,-436.0,-1740.0,-1354.0,0,ADDT,INDEX,2026-01-14 09:26:28.045105
INDEX,ADDT,d,2025-12-16,-754.0,-479.0,-1607.0,-954.0,0,ADDT,INDEX,2026-01-14 09:26:28.045105
INDEX,ADDT,d,2025-12-17,1297.0,1929.0,-1140.0,-1124.0,0,ADDT,INDEX,2026-01-14 09:26:28.045105
INDEX,ADDT,d,2025-12-18,2274.0,2419.0,721.0,721.0,0,ADDT,INDEX,2026-01-14 09:26:28.045105
INDEX,ADDT,d,2025-12-19,971.0,1009.0,281.0,385.0,0,ADDT,INDEX,2026-01-14 09:26:28.045105
INDEX,ADDT,d,2025-12-22,1829.0,2227.0,1264.0,1264.0,0,ADDT,INDEX,2026-01-14 09:26:28.045105
INDEX,ADDT,d,2025-12-23,-1958.0,-1257.0,-1958.0,-1536.0,0,ADDT,INDEX,2026-01-14 09:26:28.045105
INDEX,ADDT,d,2025-12-24,-758.0,1263.0,-758.0,1217.0,0,ADDT,INDEX,2026-01-14 09:26:28.045105
INDEX,ADDT,d,2025-12-26,-938.0,-641.0,-2065.0,-644.0,0,ADDT,INDEX,2026-01-14 09:26:28.045105
INDEX,ADDT,d,2025-12-29,-975.0,-975.0,-2423.0,-1931.0,0,ADDT,INDEX,2026-01-14 09:26:28.045105
INDEX,ADDT,d,2025-12-30,-506.0,-352.0,-1492.0,-1489.0,0,ADDT,INDEX,2026-01-14 09:26:28.045105
INDEX,ADDT,d,2025-12-31,-949.0,-949.0,-2289.0,-2056.0,0,ADDT,INDEX,2026-01-14 09:26:28.045105
INDEX,ADDT,d,2026-01-02,350.0,1329.0,-80.0,1153.0,0,ADDT,INDEX,2026-01-14 09:26:28.045105
INDEX,ADDT,d,2026-01-05,1228.0,2406.0,1228.0,1969.0,0,ADDT,INDEX,2026-01-14 09:26:28.045105
INDEX,ADDT,d,2026-01-06,156.0,1361.0,156.0,1286.0,0,ADDT,INDEX,2026-01-14 09:26:28.045105
INDEX,ADDT,d,2026-01-07,-47.0,-47.0,-1201.0,-1070.0,0,ADDT,INDEX,2026-01-14 09:26:28.045105
INDEX,ADDT,d,2026-01-08,124.0,1657.0,124.0,1507.0,0,ADDT,INDEX,2026-01-14 09:26:28.045105
INDEX,ADDT,d,2026-01-09,-848.0,992.0,-848.0,30.0,0,ADDT,INDEX,2026-01-14 09:26:28.045105
INDEX,ADDT,d,2026-01-12,-1263.0,483.0,-1263.0,143.0,0,ADDT,INDEX,2026-01-14 09:26:28.045105
INDEX,ADDT,d,2026-01-13,-575.0,-212.0,-1187.0,-618.0,0,ADDT,INDEX,2026-01-14 09:26:28.045105
