exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
INDEX,ADDX,d,2025-12-15,129.0,129.0,-230.0,-74.0,0,ADDX,INDEX,2026-01-14 09:28:06.516032
INDEX,ADDX,d,2025-12-16,-474.0,-474.0,-864.0,-622.0,0,ADDX,INDEX,2026-01-14 09:28:06.516032
INDEX,ADDX,d,2025-12-17,452.0,575.0,-341.0,-334.0,0,ADDX,INDEX,2026-01-14 09:28:06.516032
INDEX,ADDX,d,2025-12-18,596.0,905.0,558.0,571.0,0,ADDX,INDEX,2026-01-14 09:28:06.516032
INDEX,ADDX,d,2025-12-19,501.0,1235.0,501.0,1204.0,0,ADDX,INDEX,2026-01-14 09:28:06.516032
INDEX,ADDX,d,2025-12-22,533.0,906.0,533.0,854.0,0,ADDX,INDEX,2026-01-14 09:28:06.516032
INDEX,ADDX,d,2025-12-23,-174.0,482.0,-174.0,473.0,0,ADDX,INDEX,2026-01-14 09:28:06.516032
INDEX,ADDX,d,2025-12-24,-304.0,409.0,-338.0,407.0,0,ADDX,INDEX,2026-01-14 09:28:06.516032
INDEX,ADDX,d,2025-12-29,-75.0,-75.0,-362.0,-134.0,0,ADDX,INDEX,2026-01-14 09:28:06.516032
INDEX,ADDX,d,2025-12-30,229.0,306.0,14.0,30.0,0,ADDX,INDEX,2026-01-14 09:28:06.516032
INDEX,ADDX,d,2025-12-31,-476.0,-476.0,-993.0,-983.0,0,ADDX,INDEX,2026-01-14 09:28:06.516032
INDEX,ADDX,d,2026-01-02,596.0,731.0,398.0,715.0,0,ADDX,INDEX,2026-01-14 09:28:06.516032
INDEX,ADDX,d,2026-01-05,699.0,1410.0,699.0,1410.0,0,ADDX,INDEX,2026-01-14 09:28:06.516032
INDEX,ADDX,d,2026-01-06,629.0,964.0,629.0,957.0,0,ADDX,INDEX,2026-01-14 09:28:06.516032
INDEX,ADDX,d,2026-01-07,-449.0,-179.0,-548.0,-279.0,0,ADDX,INDEX,2026-01-14 09:28:06.516032
INDEX,ADDX,d,2026-01-08,-258.0,281.0,-259.0,281.0,0,ADDX,INDEX,2026-01-14 09:28:06.516032
INDEX,ADDX,d,2026-01-09,661.0,1459.0,661.0,1459.0,0,ADDX,INDEX,2026-01-14 09:28:06.516032
INDEX,ADDX,d,2026-01-12,276.0,816.0,276.0,814.0,0,ADDX,INDEX,2026-01-14 09:28:06.516032
INDEX,ADDX,d,2026-01-13,49.0,91.0,-283.0,-214.0,0,ADDX,INDEX,2026-01-14 09:28:06.516032
