exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NASDAQ,AACBR,d,2025-12-04,0.3182,0.4236,0.3175,0.35,216900,AACBR,NASDAQ,2026-01-04 16:04:07.056860
NASDAQ,AACBR,d,2025-12-05,0.37,0.37,0.35,0.36,800,AACBR,NASDAQ,2026-01-04 16:04:07.056860
NASDAQ,AACBR,d,2025-12-08,0.35,0.3565,0.35,0.35,1300,AACBR,NASDAQ,2026-01-04 16:04:07.056860
NASDAQ,AACBR,d,2025-12-09,0.32,0.3587,0.304,0.3587,27200,AACBR,NASDAQ,2026-01-04 16:04:07.056860
NASDAQ,AACBR,d,2025-12-10,0.3699,0.37,0.35,0.364,16500,AACBR,NASDAQ,2026-01-04 16:04:07.056860
NASDAQ,AACBR,d,2025-12-11,0.33,0.3662,0.33,0.3516,27100,AACBR,NASDAQ,2026-01-04 16:04:07.056860
NASDAQ,AACBR,d,2025-12-17,0.34,0.3531,0.324,0.3487,2700,AACBR,NASDAQ,2026-01-04 16:04:07.056860
NASDAQ,AACBR,d,2025-12-18,0.355,0.355,0.34,0.34,2900,AACBR,NASDAQ,2026-01-04 16:04:07.056860
NASDAQ,AACBR,d,2025-12-22,0.33,0.3499,0.33,0.3499,1200,AACBR,NASDAQ,2026-01-04 16:04:07.056860
NASDAQ,AACBR,d,2025-12-26,0.33,0.33,0.33,0.33,300,AACBR,NASDAQ,2026-01-04 16:04:07.056860
NASDAQ,AACBR,d,2026-01-02,0.32,0.3278,0.32,0.3278,700,AACBR,NASDAQ,2026-01-04 16:04:07.056860
