exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NASDAQ,AAL,d,2025-12-03,14.27,14.61,14.25,14.56,60480600,AAL,NASDAQ,2026-01-04 16:06:51.932177
NASDAQ,AAL,d,2025-12-04,14.65,14.67,14.215,14.34,52176200,AAL,NASDAQ,2026-01-04 16:06:51.932177
NASDAQ,AAL,d,2025-12-05,14.415,14.89,14.2525,14.81,56593200,AAL,NASDAQ,2026-01-04 16:06:51.932177
NASDAQ,AAL,d,2025-12-08,14.81,14.98,14.635,14.86,43144100,AAL,NASDAQ,2026-01-04 16:06:51.932177
NASDAQ,AAL,d,2025-12-09,14.73,15.2,14.5713,15.03,66426500,AAL,NASDAQ,2026-01-04 16:06:51.932177
NASDAQ,AAL,d,2025-12-10,14.99,15.21,14.78,15.14,51875400,AAL,NASDAQ,2026-01-04 16:06:51.932177
NASDAQ,AAL,d,2025-12-11,15.15,15.35,14.7,14.96,46417800,AAL,NASDAQ,2026-01-04 16:06:51.932177
NASDAQ,AAL,d,2025-12-12,15.15,15.3365,14.94,14.96,47651100,AAL,NASDAQ,2026-01-04 16:06:51.932177
NASDAQ,AAL,d,2025-12-15,15.135,15.345,14.865,15.33,80118300,AAL,NASDAQ,2026-01-04 16:06:51.932177
NASDAQ,AAL,d,2025-12-16,15.36,16.08,15.275,15.99,98399100,AAL,NASDAQ,2026-01-04 16:06:51.932177
NASDAQ,AAL,d,2025-12-17,15.9,16.0,15.44,15.51,56924000,AAL,NASDAQ,2026-01-04 16:06:51.932177
NASDAQ,AAL,d,2025-12-18,15.66,15.78,15.3801,15.61,49935000,AAL,NASDAQ,2026-01-04 16:06:51.932177
NASDAQ,AAL,d,2025-12-19,15.59,15.875,15.505,15.78,42636900,AAL,NASDAQ,2026-01-04 16:06:51.932177
NASDAQ,AAL,d,2025-12-22,15.78,16.35,15.75,16.255,58867599,AAL,NASDAQ,2026-01-04 16:06:51.932177
NASDAQ,AAL,d,2025-12-23,16.13,16.24,15.58,15.6,68214400,AAL,NASDAQ,2026-01-04 16:06:51.932177
NASDAQ,AAL,d,2025-12-24,15.61,15.74,15.49,15.68,25177700,AAL,NASDAQ,2026-01-04 16:06:51.932177
NASDAQ,AAL,d,2025-12-26,15.61,15.6199,15.31,15.44,37777100,AAL,NASDAQ,2026-01-04 16:06:51.932177
NASDAQ,AAL,d,2025-12-29,15.3,15.3963,15.015,15.14,44824900,AAL,NASDAQ,2026-01-04 16:06:51.932177
NASDAQ,AAL,d,2025-12-30,15.14,15.44,15.1,15.33,42935100,AAL,NASDAQ,2026-01-04 16:06:51.932177
NASDAQ,AAL,d,2025-12-31,15.325,15.42,15.22,15.33,27700900,AAL,NASDAQ,2026-01-04 16:06:51.932177
NASDAQ,AAL,d,2026-01-02,15.37,15.75,15.15,15.48,43940300,AAL,NASDAQ,2026-01-04 16:06:51.932177
