exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NASDAQ,AALG,d,2025-12-03,15.89,16.5164,15.89,16.5164,19700,AALG,NASDAQ,2026-01-04 16:07:24.884625
NASDAQ,AALG,d,2025-12-04,16.67,16.69,15.82,15.9869,6800,AALG,NASDAQ,2026-01-04 16:07:24.884625
NASDAQ,AALG,d,2025-12-05,15.98,17.2,15.92,16.95,13600,AALG,NASDAQ,2026-01-04 16:07:24.884625
NASDAQ,AALG,d,2025-12-08,17.07,17.346,16.66,17.1102,13900,AALG,NASDAQ,2026-01-04 16:07:24.884625
NASDAQ,AALG,d,2025-12-09,16.76,18.3743,16.5,17.4539,5200,AALG,NASDAQ,2026-01-04 16:07:24.884625
NASDAQ,AALG,d,2025-12-10,17.53,17.93,17.03,17.8121,14400,AALG,NASDAQ,2026-01-04 16:07:24.884625
NASDAQ,AALG,d,2025-12-11,17.76,18.19,16.916,17.3003,6900,AALG,NASDAQ,2026-01-04 16:07:24.884625
NASDAQ,AALG,d,2025-12-12,18.08,19.2599,17.3282,17.3282,6200,AALG,NASDAQ,2026-01-04 16:07:24.884625
NASDAQ,AALG,d,2025-12-15,17.8,18.1918,17.25,18.1659,12400,AALG,NASDAQ,2026-01-04 16:07:24.884625
NASDAQ,AALG,d,2025-12-16,18.26,19.919,18.2,19.7469,11100,AALG,NASDAQ,2026-01-04 16:07:24.884625
NASDAQ,AALG,d,2025-12-17,19.56,19.6231,18.4496,18.4732,10700,AALG,NASDAQ,2026-01-04 16:07:24.884625
NASDAQ,AALG,d,2025-12-18,18.8,19.09,18.32,18.7462,6000,AALG,NASDAQ,2026-01-04 16:07:24.884625
NASDAQ,AALG,d,2025-12-19,18.64,19.3,18.54,19.1911,8900,AALG,NASDAQ,2026-01-04 16:07:24.884625
NASDAQ,AALG,d,2025-12-22,19.24,20.43,19.23,20.36,8500,AALG,NASDAQ,2026-01-04 16:07:24.884625
NASDAQ,AALG,d,2025-12-23,20.05,20.2439,18.64,18.6814,6800,AALG,NASDAQ,2026-01-04 16:07:24.884625
NASDAQ,AALG,d,2025-12-24,18.85,18.87,18.78,18.8066,2000,AALG,NASDAQ,2026-01-04 16:07:24.884625
NASDAQ,AALG,d,2025-12-26,18.64,18.64,18.01,18.2915,5700,AALG,NASDAQ,2026-01-04 16:07:24.884625
NASDAQ,AALG,d,2025-12-29,18.13,18.13,17.515,17.571,7600,AALG,NASDAQ,2026-01-04 16:07:24.884625
NASDAQ,AALG,d,2025-12-30,17.6,17.95,17.56,17.6885,3900,AALG,NASDAQ,2026-01-04 16:07:24.884625
NASDAQ,AALG,d,2025-12-31,17.72,17.75,17.72,17.7208,700,AALG,NASDAQ,2026-01-04 16:07:24.884625
NASDAQ,AALG,d,2026-01-02,17.45,18.57,17.4328,18.064,7300,AALG,NASDAQ,2026-01-04 16:07:24.884625
