exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NASDAQ,AAOI,d,2025-12-03,26.11,26.44,25.02,25.65,2817100,AAOI,NASDAQ,2026-01-04 16:08:30.767474
NASDAQ,AAOI,d,2025-12-04,25.29,26.3,24.83,26.24,3491900,AAOI,NASDAQ,2026-01-04 16:08:30.767474
NASDAQ,AAOI,d,2025-12-05,26.34,27.03,25.8,26.59,2879000,AAOI,NASDAQ,2026-01-04 16:08:30.767474
NASDAQ,AAOI,d,2025-12-08,27.49,27.98,26.82,27.84,4119200,AAOI,NASDAQ,2026-01-04 16:08:30.767474
NASDAQ,AAOI,d,2025-12-09,27.38,30.49,27.17,30.38,5809900,AAOI,NASDAQ,2026-01-04 16:08:30.767474
NASDAQ,AAOI,d,2025-12-10,29.56,35.73,29.33,34.98,9850300,AAOI,NASDAQ,2026-01-04 16:08:30.767474
NASDAQ,AAOI,d,2025-12-11,35.28,37.05,33.69,36.32,11948500,AAOI,NASDAQ,2026-01-04 16:08:30.767474
NASDAQ,AAOI,d,2025-12-12,35.395,35.4899,31.94,32.06,5436400,AAOI,NASDAQ,2026-01-04 16:08:30.767474
NASDAQ,AAOI,d,2025-12-15,33.68,33.9,29.69,29.9,4421800,AAOI,NASDAQ,2026-01-04 16:08:30.767474
NASDAQ,AAOI,d,2025-12-16,29.32,30.1139,27.77,28.96,4068200,AAOI,NASDAQ,2026-01-04 16:08:30.767474
NASDAQ,AAOI,d,2025-12-17,29.68,30.4,26.8,27.14,3400700,AAOI,NASDAQ,2026-01-04 16:08:30.767474
NASDAQ,AAOI,d,2025-12-18,28.2,29.8,27.78,29.25,4536800,AAOI,NASDAQ,2026-01-04 16:08:30.767474
NASDAQ,AAOI,d,2025-12-19,29.75,31.93,29.33,31.32,5123900,AAOI,NASDAQ,2026-01-04 16:08:30.767474
NASDAQ,AAOI,d,2025-12-22,31.54,39.6,31.54,39.095,7694064,AAOI,NASDAQ,2026-01-04 16:08:30.767474
NASDAQ,AAOI,d,2025-12-23,37.64,41.96,37.26,40.64,9343100,AAOI,NASDAQ,2026-01-04 16:08:30.767474
NASDAQ,AAOI,d,2025-12-24,40.73,41.47,39.9688,41.0,2369900,AAOI,NASDAQ,2026-01-04 16:08:30.767474
NASDAQ,AAOI,d,2025-12-26,41.0,41.2,37.1,37.17,3825300,AAOI,NASDAQ,2026-01-04 16:08:30.767474
NASDAQ,AAOI,d,2025-12-29,36.5,39.22,36.25,36.75,3743700,AAOI,NASDAQ,2026-01-04 16:08:30.767474
NASDAQ,AAOI,d,2025-12-30,36.61,37.73,35.86,36.02,2312400,AAOI,NASDAQ,2026-01-04 16:08:30.767474
NASDAQ,AAOI,d,2025-12-31,35.75,35.9999,34.8,34.86,2744100,AAOI,NASDAQ,2026-01-04 16:08:30.767474
NASDAQ,AAOI,d,2026-01-02,36.35,40.1,35.76,39.6,4857500,AAOI,NASDAQ,2026-01-04 16:08:30.767474
