exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NASDAQ,AAPU,d,2025-12-03,40.05,40.7,39.32,39.44,1237400,AAPU,NASDAQ,2026-01-04 16:11:48.463430
NASDAQ,AAPU,d,2025-12-04,39.42,39.59,37.89,38.48,1341000,AAPU,NASDAQ,2026-01-04 16:11:48.463430
NASDAQ,AAPU,d,2025-12-05,38.36,38.575,37.725,37.91,1176200,AAPU,NASDAQ,2026-01-04 16:11:48.463430
NASDAQ,AAPU,d,2025-12-08,37.76,38.15,37.22,37.7,861400,AAPU,NASDAQ,2026-01-04 16:11:48.463430
NASDAQ,AAPU,d,2025-12-09,37.8,38.24,37.42,37.49,809300,AAPU,NASDAQ,2026-01-04 16:11:48.463430
NASDAQ,AAPU,d,2025-12-10,35.54,35.9899,35.115,35.72,1324000,AAPU,NASDAQ,2026-01-04 16:11:48.463430
NASDAQ,AAPU,d,2025-12-11,35.83,35.93,34.4755,35.52,766900,AAPU,NASDAQ,2026-01-04 16:11:48.463430
NASDAQ,AAPU,d,2025-12-12,35.5,35.7999,35.2,35.57,1012700,AAPU,NASDAQ,2026-01-04 16:11:48.463430
NASDAQ,AAPU,d,2025-12-15,36.02,36.03,34.165,34.49,1031700,AAPU,NASDAQ,2026-01-04 16:11:48.463430
NASDAQ,AAPU,d,2025-12-16,34.17,34.8,33.905,34.56,813100,AAPU,NASDAQ,2026-01-04 16:11:48.463430
NASDAQ,AAPU,d,2025-12-17,34.68,34.9769,33.87,33.9,1181500,AAPU,NASDAQ,2026-01-04 16:11:48.463430
NASDAQ,AAPU,d,2025-12-18,34.32,34.3299,32.69,33.97,1420100,AAPU,NASDAQ,2026-01-04 16:11:48.463430
NASDAQ,AAPU,d,2025-12-19,33.99,34.49,33.39,34.33,1452100,AAPU,NASDAQ,2026-01-04 16:11:48.463430
NASDAQ,AAPU,d,2025-12-22,34.33,34.3949,33.535,33.62,890364,AAPU,NASDAQ,2026-01-04 16:11:48.463430
NASDAQ,AAPU,d,2025-12-23,33.38,33.815,33.11,33.77,833100,AAPU,NASDAQ,2026-01-04 16:11:48.463430
NASDAQ,AAPU,d,2025-12-24,33.75,34.53,33.75,34.14,696300,AAPU,NASDAQ,2026-01-04 16:11:48.463430
NASDAQ,AAPU,d,2025-12-26,34.19,34.5,33.885,33.97,863500,AAPU,NASDAQ,2026-01-04 16:11:48.463430
NASDAQ,AAPU,d,2025-12-29,33.82,34.2399,33.78,34.07,452100,AAPU,NASDAQ,2026-01-04 16:11:48.463430
NASDAQ,AAPU,d,2025-12-30,33.85,34.15,33.71,33.88,376500,AAPU,NASDAQ,2026-01-04 16:11:48.463430
NASDAQ,AAPU,d,2025-12-31,33.84,34.015,33.57,33.58,453100,AAPU,NASDAQ,2026-01-04 16:11:48.463430
NASDAQ,AAPU,d,2026-01-02,33.72,35.03,32.89,33.35,1435300,AAPU,NASDAQ,2026-01-04 16:11:48.463430
