exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NASDAQ,AAVM,d,2025-12-03,29.272,29.425,29.27,29.425,700,AAVM,NASDAQ,2026-01-04 16:13:27.274157
NASDAQ,AAVM,d,2025-12-04,29.4839,29.4839,29.4839,29.4839,200,AAVM,NASDAQ,2026-01-04 16:13:27.274157
NASDAQ,AAVM,d,2025-12-05,29.6833,29.6833,29.48,29.4817,2500,AAVM,NASDAQ,2026-01-04 16:13:27.274157
NASDAQ,AAVM,d,2025-12-08,29.5,29.56,29.47,29.47,600,AAVM,NASDAQ,2026-01-04 16:13:27.274157
NASDAQ,AAVM,d,2025-12-09,29.62,29.62,29.465,29.465,900,AAVM,NASDAQ,2026-01-04 16:13:27.274157
NASDAQ,AAVM,d,2025-12-10,29.44,29.815,29.44,29.815,1700,AAVM,NASDAQ,2026-01-04 16:13:27.274157
NASDAQ,AAVM,d,2025-12-11,30.135,30.135,30.135,30.135,100,AAVM,NASDAQ,2026-01-04 16:13:27.274157
NASDAQ,AAVM,d,2025-12-12,29.9072,29.9072,29.9072,29.9072,100,AAVM,NASDAQ,2026-01-04 16:13:27.274157
NASDAQ,AAVM,d,2025-12-15,30.0299,30.0299,30.0299,30.0299,100,AAVM,NASDAQ,2026-01-04 16:13:27.274157
NASDAQ,AAVM,d,2025-12-16,29.99,29.99,29.72,29.8625,5800,AAVM,NASDAQ,2026-01-04 16:13:27.274157
NASDAQ,AAVM,d,2025-12-17,29.73,29.73,29.666,29.666,100,AAVM,NASDAQ,2026-01-04 16:13:27.274157
NASDAQ,AAVM,d,2025-12-18,29.8302,29.8302,29.8302,29.8302,100,AAVM,NASDAQ,2026-01-04 16:13:27.274157
NASDAQ,AAVM,d,2025-12-19,30.1253,30.1253,30.1253,30.1253,100,AAVM,NASDAQ,2026-01-04 16:13:27.274157
NASDAQ,AAVM,d,2025-12-22,30.31,30.3401,30.31,30.3401,200,AAVM,NASDAQ,2026-01-04 16:13:27.274157
NASDAQ,AAVM,d,2025-12-23,30.41,30.43,30.39,30.39,200,AAVM,NASDAQ,2026-01-04 16:13:27.274157
NASDAQ,AAVM,d,2025-12-24,30.42,30.4716,30.42,30.465,700,AAVM,NASDAQ,2026-01-04 16:13:27.274157
NASDAQ,AAVM,d,2025-12-26,30.395,30.4414,30.38,30.4414,800,AAVM,NASDAQ,2026-01-04 16:13:27.274157
NASDAQ,AAVM,d,2025-12-29,30.44,30.44,30.23,30.2479,8500,AAVM,NASDAQ,2026-01-04 16:13:27.274157
NASDAQ,AAVM,d,2025-12-30,29.71,29.7299,29.6835,29.6835,700,AAVM,NASDAQ,2026-01-04 16:13:27.274157
NASDAQ,AAVM,d,2025-12-31,29.56,29.64,29.51,29.52,6400,AAVM,NASDAQ,2026-01-04 16:13:27.274157
NASDAQ,AAVM,d,2026-01-02,29.77,29.91,29.77,29.8808,1200,AAVM,NASDAQ,2026-01-04 16:13:27.274157
