exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NASDAQ,AAON,d,2025-12-10,81.35,84.08,80.345,82.61,933700,AAON,NASDAQ,2026-01-11 13:57:02.479302
NASDAQ,AAON,d,2025-12-11,81.6,84.59,81.13,83.97,498100,AAON,NASDAQ,2026-01-11 13:57:02.479302
NASDAQ,AAON,d,2025-12-12,84.11,84.4,77.54,77.93,1083800,AAON,NASDAQ,2026-01-11 13:57:02.479302
NASDAQ,AAON,d,2025-12-15,78.97,79.19,75.49,76.83,1423600,AAON,NASDAQ,2026-01-11 13:57:02.479302
NASDAQ,AAON,d,2025-12-16,78.0,79.31,76.36,78.07,1037000,AAON,NASDAQ,2026-01-11 13:57:02.479302
NASDAQ,AAON,d,2025-12-17,77.07,78.465,73.43,73.49,1072900,AAON,NASDAQ,2026-01-11 13:57:02.479302
NASDAQ,AAON,d,2025-12-18,75.41,76.0,73.19,74.63,1205600,AAON,NASDAQ,2026-01-11 13:57:02.479302
NASDAQ,AAON,d,2025-12-19,74.5,76.06,73.23,75.34,1729900,AAON,NASDAQ,2026-01-11 13:57:02.479302
NASDAQ,AAON,d,2025-12-22,76.22,76.88,74.19,75.08,915300,AAON,NASDAQ,2026-01-11 13:57:02.479302
NASDAQ,AAON,d,2025-12-23,74.82,76.075,74.295,75.25,689500,AAON,NASDAQ,2026-01-11 13:57:02.479302
NASDAQ,AAON,d,2025-12-24,75.11,76.73,74.825,75.79,563100,AAON,NASDAQ,2026-01-11 13:57:02.479302
NASDAQ,AAON,d,2025-12-26,75.48,75.93,74.97,75.77,358400,AAON,NASDAQ,2026-01-11 13:57:02.479302
NASDAQ,AAON,d,2025-12-29,75.43,76.07,74.8379,75.7,864600,AAON,NASDAQ,2026-01-11 13:57:02.479302
NASDAQ,AAON,d,2025-12-30,75.75,79.81,75.59,78.62,1375800,AAON,NASDAQ,2026-01-11 13:57:02.479302
NASDAQ,AAON,d,2025-12-31,78.62,78.74,76.0,76.25,1197600,AAON,NASDAQ,2026-01-11 13:57:02.479302
NASDAQ,AAON,d,2026-01-02,77.81,82.365,77.385,79.19,1350300,AAON,NASDAQ,2026-01-11 13:57:02.479302
NASDAQ,AAON,d,2026-01-05,80.33,83.36,80.0,81.48,1243400,AAON,NASDAQ,2026-01-11 13:57:02.479302
NASDAQ,AAON,d,2026-01-06,81.0,81.96,73.79,81.67,1894500,AAON,NASDAQ,2026-01-11 13:57:02.479302
NASDAQ,AAON,d,2026-01-07,81.24,81.295,77.47,77.61,1050100,AAON,NASDAQ,2026-01-11 13:57:02.479302
NASDAQ,AAON,d,2026-01-08,77.57,80.13,76.33,79.81,1042400,AAON,NASDAQ,2026-01-11 13:57:02.479302
NASDAQ,AAON,d,2026-01-09,80.73,84.01,79.63,83.32,832800,AAON,NASDAQ,2026-01-11 13:57:02.479302
