exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NASDAQ,AAPG,d,2025-12-10,29.8,30.0344,28.5,29.48,8700,AAPG,NASDAQ,2026-01-11 13:58:40.878366
NASDAQ,AAPG,d,2025-12-11,30.069,30.069,29.99,29.99,1300,AAPG,NASDAQ,2026-01-11 13:58:40.878366
NASDAQ,AAPG,d,2025-12-12,30.39,30.4,30.35,30.35,600,AAPG,NASDAQ,2026-01-11 13:58:40.878366
NASDAQ,AAPG,d,2025-12-15,29.4,29.4,27.5,27.6,16800,AAPG,NASDAQ,2026-01-11 13:58:40.878366
NASDAQ,AAPG,d,2025-12-16,28.42,29.5,28.42,29.437,2900,AAPG,NASDAQ,2026-01-11 13:58:40.878366
NASDAQ,AAPG,d,2025-12-17,28.22,29.34,28.22,28.51,2400,AAPG,NASDAQ,2026-01-11 13:58:40.878366
NASDAQ,AAPG,d,2025-12-18,28.81,28.81,28.55,28.66,2900,AAPG,NASDAQ,2026-01-11 13:58:40.878366
NASDAQ,AAPG,d,2025-12-19,29.37,29.49,29.0,29.31,2300,AAPG,NASDAQ,2026-01-11 13:58:40.878366
NASDAQ,AAPG,d,2025-12-22,28.88,28.88,25.83,26.49,12000,AAPG,NASDAQ,2026-01-11 13:58:40.878366
NASDAQ,AAPG,d,2025-12-23,27.4,28.17,27.4,27.88,800,AAPG,NASDAQ,2026-01-11 13:58:40.878366
NASDAQ,AAPG,d,2025-12-26,27.0,27.68,27.0,27.68,3800,AAPG,NASDAQ,2026-01-11 13:58:40.878366
NASDAQ,AAPG,d,2025-12-29,26.19,26.4,25.8,25.92,5600,AAPG,NASDAQ,2026-01-11 13:58:40.878366
NASDAQ,AAPG,d,2025-12-30,26.655,26.655,26.07,26.07,2300,AAPG,NASDAQ,2026-01-11 13:58:40.878366
NASDAQ,AAPG,d,2025-12-31,26.21,26.24,26.19,26.24,900,AAPG,NASDAQ,2026-01-11 13:58:40.878366
NASDAQ,AAPG,d,2026-01-02,26.26,26.89,26.26,26.37,2500,AAPG,NASDAQ,2026-01-11 13:58:40.878366
NASDAQ,AAPG,d,2026-01-05,26.7,26.97,26.7,26.95,3300,AAPG,NASDAQ,2026-01-11 13:58:40.878366
NASDAQ,AAPG,d,2026-01-06,26.88,26.95,26.0,26.01,4700,AAPG,NASDAQ,2026-01-11 13:58:40.878366
NASDAQ,AAPG,d,2026-01-07,27.63,28.4,27.63,28.22,14400,AAPG,NASDAQ,2026-01-11 13:58:40.878366
NASDAQ,AAPG,d,2026-01-08,28.3,28.3,27.89,27.89,3100,AAPG,NASDAQ,2026-01-11 13:58:40.878366
NASDAQ,AAPG,d,2026-01-09,28.25,28.81,28.2,28.78,1400,AAPG,NASDAQ,2026-01-11 13:58:40.878366
