exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NASDAQ,AACB,d,2025-12-15,10.32,10.33,10.3,10.3,6500,AACB,NASDAQ,2026-01-14 09:37:24.305736
NASDAQ,AACB,d,2025-12-16,10.315,10.315,10.31,10.31,257700,AACB,NASDAQ,2026-01-14 09:37:24.305736
NASDAQ,AACB,d,2025-12-17,10.34,10.34,10.29,10.31,3800,AACB,NASDAQ,2026-01-14 09:37:24.305736
NASDAQ,AACB,d,2025-12-18,10.31,10.31,10.3,10.3,459400,AACB,NASDAQ,2026-01-14 09:37:24.305736
NASDAQ,AACB,d,2025-12-19,10.32,10.32,10.3,10.3,70800,AACB,NASDAQ,2026-01-14 09:37:24.305736
NASDAQ,AACB,d,2025-12-24,10.3,10.3,10.29,10.29,38800,AACB,NASDAQ,2026-01-14 09:37:24.305736
NASDAQ,AACB,d,2025-12-30,10.3,10.3,10.29,10.3,77300,AACB,NASDAQ,2026-01-14 09:37:24.305736
NASDAQ,AACB,d,2025-12-31,10.3,10.3,10.3,10.3,4400,AACB,NASDAQ,2026-01-14 09:37:24.305736
NASDAQ,AACB,d,2026-01-02,10.3,10.3,10.29,10.29,1300,AACB,NASDAQ,2026-01-14 09:37:24.305736
NASDAQ,AACB,d,2026-01-05,10.3,10.3,10.3,10.3,1400,AACB,NASDAQ,2026-01-14 09:37:24.305736
NASDAQ,AACB,d,2026-01-06,10.3,10.3,10.29,10.3,30400,AACB,NASDAQ,2026-01-14 09:37:24.305736
NASDAQ,AACB,d,2026-01-07,10.3,10.3,10.295,10.295,1900,AACB,NASDAQ,2026-01-14 09:37:24.305736
NASDAQ,AACB,d,2026-01-08,10.305,10.31,10.305,10.31,5600,AACB,NASDAQ,2026-01-14 09:37:24.305736
NASDAQ,AACB,d,2026-01-09,10.3,10.32,10.3,10.3,84200,AACB,NASDAQ,2026-01-14 09:37:24.305736
NASDAQ,AACB,d,2026-01-12,10.3,10.3,10.3,10.3,26000,AACB,NASDAQ,2026-01-14 09:37:24.305736
NASDAQ,AACB,d,2026-01-13,10.31,10.31,10.31,10.31,1000,AACB,NASDAQ,2026-01-14 09:37:24.305736
