exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NASDAQ,AAPB,d,2025-12-15,35.41,35.41,33.751,34.0881,122800,AAPB,NASDAQ,2026-01-14 09:43:25.110507
NASDAQ,AAPB,d,2025-12-16,33.87,34.38,33.52,34.2663,35400,AAPB,NASDAQ,2026-01-14 09:43:25.110507
NASDAQ,AAPB,d,2025-12-17,34.35,34.55,33.41,33.63,62000,AAPB,NASDAQ,2026-01-14 09:43:25.110507
NASDAQ,AAPB,d,2025-12-18,33.7,33.814,32.42,33.5838,104900,AAPB,NASDAQ,2026-01-14 09:43:25.110507
NASDAQ,AAPB,d,2025-12-19,33.51,33.95,33.01,33.7174,58900,AAPB,NASDAQ,2026-01-14 09:43:25.110507
NASDAQ,AAPB,d,2025-12-22,33.81,33.84,33.14,33.2,115600,AAPB,NASDAQ,2026-01-14 09:43:25.110507
NASDAQ,AAPB,d,2025-12-23,33.21,33.6086,32.7854,33.6086,49900,AAPB,NASDAQ,2026-01-14 09:43:25.110507
NASDAQ,AAPB,d,2025-12-24,33.61,34.34,33.61,34.02,52100,AAPB,NASDAQ,2026-01-14 09:43:25.110507
NASDAQ,AAPB,d,2025-12-26,34.11,34.29,33.67,33.89,33300,AAPB,NASDAQ,2026-01-14 09:43:25.110507
NASDAQ,AAPB,d,2025-12-29,32.17,32.55,32.17,32.4618,36600,AAPB,NASDAQ,2026-01-14 09:43:25.110507
NASDAQ,AAPB,d,2025-12-30,32.505,32.505,32.14,32.32,23200,AAPB,NASDAQ,2026-01-14 09:43:25.110507
NASDAQ,AAPB,d,2025-12-31,32.25,32.34,32.0,32.0648,36300,AAPB,NASDAQ,2026-01-14 09:43:25.110507
NASDAQ,AAPB,d,2026-01-02,32.0,33.3209,31.41,31.85,61500,AAPB,NASDAQ,2026-01-14 09:43:25.110507
NASDAQ,AAPB,d,2026-01-05,31.63,31.81,30.68,30.93,108300,AAPB,NASDAQ,2026-01-14 09:43:25.110507
NASDAQ,AAPB,d,2026-01-06,30.8,30.91,29.73,29.76,183600,AAPB,NASDAQ,2026-01-14 09:43:25.110507
NASDAQ,AAPB,d,2026-01-07,29.7,29.9,29.19,29.2762,157000,AAPB,NASDAQ,2026-01-14 09:43:25.110507
NASDAQ,AAPB,d,2026-01-08,28.62,29.06,28.27,29.02,239500,AAPB,NASDAQ,2026-01-14 09:43:25.110507
NASDAQ,AAPB,d,2026-01-09,29.13,29.25,28.4026,29.07,177500,AAPB,NASDAQ,2026-01-14 09:43:25.110507
NASDAQ,AAPB,d,2026-01-12,29.14,29.485,28.5,29.27,200367,AAPB,NASDAQ,2026-01-14 09:43:25.110507
NASDAQ,AAPB,d,2026-01-13,28.89,29.5827,28.89,29.3919,135700,AAPB,NASDAQ,2026-01-14 09:43:25.110507
