exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NASDAQ,AAPD,d,2025-12-15,12.8,13.13,12.8,13.07,925600,AAPD,NASDAQ,2026-01-14 09:43:57.856512
NASDAQ,AAPD,d,2025-12-16,13.149,13.19,13.02,13.06,238900,AAPD,NASDAQ,2026-01-14 09:43:57.856512
NASDAQ,AAPD,d,2025-12-17,13.03,13.195,12.985,13.19,609300,AAPD,NASDAQ,2026-01-14 09:43:57.856512
NASDAQ,AAPD,d,2025-12-18,13.09,13.42,13.09,13.17,554100,AAPD,NASDAQ,2026-01-14 09:43:57.856512
NASDAQ,AAPD,d,2025-12-19,13.16,13.29,13.08,13.1,721800,AAPD,NASDAQ,2026-01-14 09:43:57.856512
NASDAQ,AAPD,d,2025-12-22,13.13,13.26,13.1,13.24,925900,AAPD,NASDAQ,2026-01-14 09:43:57.856512
NASDAQ,AAPD,d,2025-12-23,13.14,13.19,13.06,13.0666,310400,AAPD,NASDAQ,2026-01-14 09:43:57.856512
NASDAQ,AAPD,d,2025-12-24,13.06,13.06,12.925,12.9985,216200,AAPD,NASDAQ,2026-01-14 09:43:57.856512
NASDAQ,AAPD,d,2025-12-26,13.0,13.05,12.93,13.02,144800,AAPD,NASDAQ,2026-01-14 09:43:57.856512
NASDAQ,AAPD,d,2025-12-29,13.05,13.06,12.99,13.01,167800,AAPD,NASDAQ,2026-01-14 09:43:57.856512
NASDAQ,AAPD,d,2025-12-30,13.06,13.0861,13.01,13.04,238900,AAPD,NASDAQ,2026-01-14 09:43:57.856512
NASDAQ,AAPD,d,2025-12-31,13.04,13.1121,13.03,13.11,398200,AAPD,NASDAQ,2026-01-14 09:43:57.856512
NASDAQ,AAPD,d,2026-01-02,13.11,13.25,12.84,13.17,2552600,AAPD,NASDAQ,2026-01-14 09:43:57.856512
NASDAQ,AAPD,d,2026-01-05,13.18,13.3912,13.15,13.35,2874100,AAPD,NASDAQ,2026-01-14 09:43:57.856512
NASDAQ,AAPD,d,2026-01-06,13.35,13.6,13.335,13.58,4372500,AAPD,NASDAQ,2026-01-14 09:43:57.856512
NASDAQ,AAPD,d,2026-01-07,13.53,13.72,13.53,13.7,3240500,AAPD,NASDAQ,2026-01-14 09:43:57.856512
NASDAQ,AAPD,d,2026-01-08,13.86,13.9309,13.75,13.77,4478500,AAPD,NASDAQ,2026-01-14 09:43:57.856512
NASDAQ,AAPD,d,2026-01-09,13.77,13.91,13.715,13.75,4733400,AAPD,NASDAQ,2026-01-14 09:43:57.856512
NASDAQ,AAPD,d,2026-01-12,13.75,13.88,13.66,13.7,2718700,AAPD,NASDAQ,2026-01-14 09:43:57.856512
NASDAQ,AAPD,d,2026-01-13,13.8,13.8,13.64,13.67,2242500,AAPD,NASDAQ,2026-01-14 09:43:57.856512
