exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NASDAQ,AAPL,d,2025-12-15,280.15,280.15,272.84,274.11,50409000,AAPL,NASDAQ,2026-01-14 09:45:03.647723
NASDAQ,AAPL,d,2025-12-16,272.82,275.5,271.79,274.61,37648600,AAPL,NASDAQ,2026-01-14 09:45:03.647723
NASDAQ,AAPL,d,2025-12-17,275.01,276.16,271.64,271.84,50138700,AAPL,NASDAQ,2026-01-14 09:45:03.647723
NASDAQ,AAPL,d,2025-12-18,273.61,273.63,266.95,272.19,51630700,AAPL,NASDAQ,2026-01-14 09:45:03.647723
NASDAQ,AAPL,d,2025-12-19,272.145,274.6,269.9,273.67,144632000,AAPL,NASDAQ,2026-01-14 09:45:03.647723
NASDAQ,AAPL,d,2025-12-22,273.68,274.09,270.505,270.82,20557055,AAPL,NASDAQ,2026-01-14 09:45:03.647723
NASDAQ,AAPL,d,2025-12-23,270.84,272.5,269.56,272.36,29642000,AAPL,NASDAQ,2026-01-14 09:45:03.647723
NASDAQ,AAPL,d,2025-12-24,272.34,275.43,272.195,273.81,17910500,AAPL,NASDAQ,2026-01-14 09:45:03.647723
NASDAQ,AAPL,d,2025-12-26,274.16,275.37,272.86,273.4,21521800,AAPL,NASDAQ,2026-01-14 09:45:03.647723
NASDAQ,AAPL,d,2025-12-29,272.69,274.36,272.35,273.76,23715200,AAPL,NASDAQ,2026-01-14 09:45:03.647723
NASDAQ,AAPL,d,2025-12-30,272.81,274.08,272.28,273.08,22139600,AAPL,NASDAQ,2026-01-14 09:45:03.647723
NASDAQ,AAPL,d,2025-12-31,273.06,273.68,271.75,271.86,27293600,AAPL,NASDAQ,2026-01-14 09:45:03.647723
NASDAQ,AAPL,d,2026-01-02,272.26,277.84,269.0,271.01,37838000,AAPL,NASDAQ,2026-01-14 09:45:03.647723
NASDAQ,AAPL,d,2026-01-05,270.64,271.51,266.14,267.26,45647100,AAPL,NASDAQ,2026-01-14 09:45:03.647723
NASDAQ,AAPL,d,2026-01-06,267.0,267.55,262.12,262.36,52352000,AAPL,NASDAQ,2026-01-14 09:45:03.647723
NASDAQ,AAPL,d,2026-01-07,263.2,263.68,259.81,260.33,48309800,AAPL,NASDAQ,2026-01-14 09:45:03.647723
NASDAQ,AAPL,d,2026-01-08,257.02,259.29,255.7,259.04,50419300,AAPL,NASDAQ,2026-01-14 09:45:03.647723
NASDAQ,AAPL,d,2026-01-09,259.075,260.21,256.22,259.37,39996900,AAPL,NASDAQ,2026-01-14 09:45:03.647723
NASDAQ,AAPL,d,2026-01-12,259.16,261.3,256.8,260.21,28680689,AAPL,NASDAQ,2026-01-14 09:45:03.647723
NASDAQ,AAPL,d,2026-01-13,258.72,261.81,258.39,261.05,45730800,AAPL,NASDAQ,2026-01-14 09:45:03.647723
NASDAQ,AAPL,d,2026-01-14,260.56,260.83,260.44,260.49,4660,AAPL,NASDAQ,2026-01-14 09:45:03.647723
