exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NASDAQ,AARD,d,2025-12-15,15.64,15.75,14.43,14.47,293600,AARD,NASDAQ,2026-01-14 09:46:09.244223
NASDAQ,AARD,d,2025-12-16,14.4,14.91,13.76,13.92,198200,AARD,NASDAQ,2026-01-14 09:46:09.244223
NASDAQ,AARD,d,2025-12-17,13.91,14.21,13.1351,13.22,134500,AARD,NASDAQ,2026-01-14 09:46:09.244223
NASDAQ,AARD,d,2025-12-18,13.29,13.97,12.9,13.69,163700,AARD,NASDAQ,2026-01-14 09:46:09.244223
NASDAQ,AARD,d,2025-12-19,13.6,14.64,13.375,13.77,1186200,AARD,NASDAQ,2026-01-14 09:46:09.244223
NASDAQ,AARD,d,2025-12-22,13.81,15.14,13.81,14.55,218400,AARD,NASDAQ,2026-01-14 09:46:09.244223
NASDAQ,AARD,d,2025-12-23,15.33,15.33,13.87,14.15,245100,AARD,NASDAQ,2026-01-14 09:46:09.244223
NASDAQ,AARD,d,2025-12-24,14.15,14.6092,14.0,14.26,63700,AARD,NASDAQ,2026-01-14 09:46:09.244223
NASDAQ,AARD,d,2025-12-26,14.26,14.285,13.58,13.65,85600,AARD,NASDAQ,2026-01-14 09:46:09.244223
NASDAQ,AARD,d,2025-12-29,13.9,14.34,13.3448,13.465,177000,AARD,NASDAQ,2026-01-14 09:46:09.244223
NASDAQ,AARD,d,2025-12-30,13.46,13.515,12.835,13.225,125900,AARD,NASDAQ,2026-01-14 09:46:09.244223
NASDAQ,AARD,d,2025-12-31,13.27,13.6317,13.0,13.125,89500,AARD,NASDAQ,2026-01-14 09:46:09.244223
NASDAQ,AARD,d,2026-01-02,13.3,13.58,12.5,13.19,80100,AARD,NASDAQ,2026-01-14 09:46:09.244223
NASDAQ,AARD,d,2026-01-05,13.48,13.615,12.87,13.28,136300,AARD,NASDAQ,2026-01-14 09:46:09.244223
NASDAQ,AARD,d,2026-01-06,13.27,13.4399,12.78,13.31,124300,AARD,NASDAQ,2026-01-14 09:46:09.244223
NASDAQ,AARD,d,2026-01-07,13.29,13.9,13.29,13.7,129000,AARD,NASDAQ,2026-01-14 09:46:09.244223
NASDAQ,AARD,d,2026-01-08,13.6,15.0,13.56,14.51,143700,AARD,NASDAQ,2026-01-14 09:46:09.244223
NASDAQ,AARD,d,2026-01-09,14.59,14.75,14.045,14.27,105900,AARD,NASDAQ,2026-01-14 09:46:09.244223
NASDAQ,AARD,d,2026-01-12,14.27,16.0,14.27,14.84,399600,AARD,NASDAQ,2026-01-14 09:46:09.244223
NASDAQ,AARD,d,2026-01-13,14.9,15.71,14.76,15.39,324300,AARD,NASDAQ,2026-01-14 09:46:09.244223
