exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NASDAQ,AAUS,d,2025-12-15,55.01,55.015,55.0,55.015,1100,AAUS,NASDAQ,2026-01-14 09:46:41.950133
NASDAQ,AAUS,d,2025-12-16,54.67,54.92,54.67,54.9032,500,AAUS,NASDAQ,2026-01-14 09:46:41.950133
NASDAQ,AAUS,d,2025-12-17,54.2176,54.2176,54.2176,54.2176,100,AAUS,NASDAQ,2026-01-14 09:46:41.950133
NASDAQ,AAUS,d,2025-12-18,54.6666,54.6666,54.6666,54.6666,100,AAUS,NASDAQ,2026-01-14 09:46:41.950133
NASDAQ,AAUS,d,2025-12-19,55.07,55.1224,55.07,55.1224,1800,AAUS,NASDAQ,2026-01-14 09:46:41.950133
NASDAQ,AAUS,d,2025-12-22,55.36,55.4845,55.315,55.4845,1100,AAUS,NASDAQ,2026-01-14 09:46:41.950133
NASDAQ,AAUS,d,2025-12-23,55.33,55.535,55.3299,55.535,2300,AAUS,NASDAQ,2026-01-14 09:46:41.950133
NASDAQ,AAUS,d,2025-12-24,55.7532,55.7532,55.7532,55.7532,100,AAUS,NASDAQ,2026-01-14 09:46:41.950133
NASDAQ,AAUS,d,2025-12-26,55.66,55.7407,55.66,55.7407,2100,AAUS,NASDAQ,2026-01-14 09:46:41.950133
NASDAQ,AAUS,d,2025-12-29,55.46,55.5376,55.455,55.5376,1500,AAUS,NASDAQ,2026-01-14 09:46:41.950133
NASDAQ,AAUS,d,2025-12-30,55.51,55.5201,55.4897,55.4897,600,AAUS,NASDAQ,2026-01-14 09:46:41.950133
NASDAQ,AAUS,d,2025-12-31,55.3,55.3,55.1055,55.1055,400,AAUS,NASDAQ,2026-01-14 09:46:41.950133
NASDAQ,AAUS,d,2026-01-02,55.1078,55.1078,55.1078,55.1078,100,AAUS,NASDAQ,2026-01-14 09:46:41.950133
NASDAQ,AAUS,d,2026-01-05,55.4573,55.4573,55.4573,55.4573,100,AAUS,NASDAQ,2026-01-14 09:46:41.950133
NASDAQ,AAUS,d,2026-01-06,55.54,55.735,55.54,55.735,100,AAUS,NASDAQ,2026-01-14 09:46:41.950133
NASDAQ,AAUS,d,2026-01-07,55.73,55.73,55.6371,55.6371,200,AAUS,NASDAQ,2026-01-14 09:46:41.950133
NASDAQ,AAUS,d,2026-01-08,55.54,55.6184,55.49,55.6184,8000,AAUS,NASDAQ,2026-01-14 09:46:41.950133
NASDAQ,AAUS,d,2026-01-09,55.74,55.97,55.72,55.9642,17500,AAUS,NASDAQ,2026-01-14 09:46:41.950133
NASDAQ,AAUS,d,2026-01-12,56.045,56.045,56.045,56.045,100,AAUS,NASDAQ,2026-01-14 09:46:41.950133
NASDAQ,AAUS,d,2026-01-13,55.774,55.9026,55.774,55.9026,100,AAUS,NASDAQ,2026-01-14 09:46:41.950133
