exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NASDAQ,AAXJ,d,2025-12-15,92.41,92.5,91.63,91.63,1002200,AAXJ,NASDAQ,2026-01-14 09:47:47.363370
NASDAQ,AAXJ,d,2025-12-16,89.88,90.15,89.54,89.97,564200,AAXJ,NASDAQ,2026-01-14 09:47:47.363370
NASDAQ,AAXJ,d,2025-12-17,90.61,90.62,89.295,89.36,705400,AAXJ,NASDAQ,2026-01-14 09:47:47.363370
NASDAQ,AAXJ,d,2025-12-18,90.57,90.96,90.33,90.35,253300,AAXJ,NASDAQ,2026-01-14 09:47:47.363370
NASDAQ,AAXJ,d,2025-12-19,90.97,91.565,90.93,91.34,692600,AAXJ,NASDAQ,2026-01-14 09:47:47.363370
NASDAQ,AAXJ,d,2025-12-22,91.6,91.935,91.59,91.86,403000,AAXJ,NASDAQ,2026-01-14 09:47:47.363370
NASDAQ,AAXJ,d,2025-12-23,91.75,92.28,91.615,92.26,593800,AAXJ,NASDAQ,2026-01-14 09:47:47.363370
NASDAQ,AAXJ,d,2025-12-24,92.42,92.55,92.36,92.48,127800,AAXJ,NASDAQ,2026-01-14 09:47:47.363370
NASDAQ,AAXJ,d,2025-12-26,92.82,93.26,92.73,93.26,171900,AAXJ,NASDAQ,2026-01-14 09:47:47.363370
NASDAQ,AAXJ,d,2025-12-29,92.87,93.13,92.73,93.1,272300,AAXJ,NASDAQ,2026-01-14 09:47:47.363370
NASDAQ,AAXJ,d,2025-12-30,93.3,93.59,93.3,93.43,824700,AAXJ,NASDAQ,2026-01-14 09:47:47.363370
NASDAQ,AAXJ,d,2025-12-31,93.6,93.6,93.04,93.12,144200,AAXJ,NASDAQ,2026-01-14 09:47:47.363370
NASDAQ,AAXJ,d,2026-01-02,95.22,96.07,95.22,96.03,507700,AAXJ,NASDAQ,2026-01-14 09:47:47.363370
NASDAQ,AAXJ,d,2026-01-05,96.66,97.23,96.39,97.22,878200,AAXJ,NASDAQ,2026-01-14 09:47:47.363370
NASDAQ,AAXJ,d,2026-01-06,97.83,98.09,97.62,97.88,632900,AAXJ,NASDAQ,2026-01-14 09:47:47.363370
NASDAQ,AAXJ,d,2026-01-07,97.55,97.595,97.12,97.18,637500,AAXJ,NASDAQ,2026-01-14 09:47:47.363370
NASDAQ,AAXJ,d,2026-01-08,96.81,97.265,96.81,97.19,1021800,AAXJ,NASDAQ,2026-01-14 09:47:47.363370
NASDAQ,AAXJ,d,2026-01-09,97.4,97.655,96.89,97.61,636100,AAXJ,NASDAQ,2026-01-14 09:47:47.363370
NASDAQ,AAXJ,d,2026-01-12,97.77,99.01,97.61,98.96,714700,AAXJ,NASDAQ,2026-01-14 09:47:47.363370
NASDAQ,AAXJ,d,2026-01-13,98.68,98.68,97.87,98.2,673500,AAXJ,NASDAQ,2026-01-14 09:47:47.363370
