exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NYSE,A,d,2025-12-03,149.77,151.43,149.1,149.26,2163000,A,NYSE,2026-01-04 16:16:30.575604
NYSE,A,d,2025-12-04,149.26,149.8,144.22,148.32,2865100,A,NYSE,2026-01-04 16:16:30.575604
NYSE,A,d,2025-12-05,148.79,149.0,144.76,145.49,2142100,A,NYSE,2026-01-04 16:16:30.575604
NYSE,A,d,2025-12-08,144.82,144.82,142.18,142.44,2195300,A,NYSE,2026-01-04 16:16:30.575604
NYSE,A,d,2025-12-09,142.3,142.77,140.22,140.64,2324400,A,NYSE,2026-01-04 16:16:30.575604
NYSE,A,d,2025-12-10,141.51,143.93,141.06,143.47,1864400,A,NYSE,2026-01-04 16:16:30.575604
NYSE,A,d,2025-12-11,143.57,143.8811,142.14,142.87,1226000,A,NYSE,2026-01-04 16:16:30.575604
NYSE,A,d,2025-12-12,142.59,142.85,139.15,139.68,1962000,A,NYSE,2026-01-04 16:16:30.575604
NYSE,A,d,2025-12-15,141.82,143.365,139.72,140.6,2712000,A,NYSE,2026-01-04 16:16:30.575604
NYSE,A,d,2025-12-16,140.48,140.5069,138.035,139.19,1798700,A,NYSE,2026-01-04 16:16:30.575604
NYSE,A,d,2025-12-17,138.67,139.305,136.27,136.66,2242000,A,NYSE,2026-01-04 16:16:30.575604
NYSE,A,d,2025-12-18,137.09,138.98,136.23,136.9,2693800,A,NYSE,2026-01-04 16:16:30.575604
NYSE,A,d,2025-12-19,137.21,138.27,136.43,137.24,4959100,A,NYSE,2026-01-04 16:16:30.575604
NYSE,A,d,2025-12-22,137.62,139.19,137.21,138.52,2038300,A,NYSE,2026-01-04 16:16:30.575604
NYSE,A,d,2025-12-23,138.17,138.92,137.64,138.36,1208700,A,NYSE,2026-01-04 16:16:30.575604
NYSE,A,d,2025-12-24,138.35,138.57,137.77,138.32,508900,A,NYSE,2026-01-04 16:16:30.575604
NYSE,A,d,2025-12-26,138.5,138.63,137.87,138.39,739300,A,NYSE,2026-01-04 16:16:30.575604
NYSE,A,d,2025-12-29,138.4,139.07,137.62,137.93,1640800,A,NYSE,2026-01-04 16:16:30.575604
NYSE,A,d,2025-12-30,137.57,138.16,136.8301,137.62,2423100,A,NYSE,2026-01-04 16:16:30.575604
NYSE,A,d,2025-12-31,137.61,137.97,136.04,136.07,949900,A,NYSE,2026-01-04 16:16:30.575604
NYSE,A,d,2026-01-02,136.24,137.95,135.27,137.95,1650700,A,NYSE,2026-01-04 16:16:30.575604
