exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NYSE,AA,d,2025-12-03,42.41,44.96,42.32,44.1,8937500,AA,NYSE,2026-01-04 16:17:03.539802
NYSE,AA,d,2025-12-04,43.95,44.46,43.52,44.01,5540400,AA,NYSE,2026-01-04 16:17:03.539802
NYSE,AA,d,2025-12-05,44.25,44.8424,43.731,43.77,5135300,AA,NYSE,2026-01-04 16:17:03.539802
NYSE,AA,d,2025-12-08,43.99,44.7,43.04,44.46,7234700,AA,NYSE,2026-01-04 16:17:03.539802
NYSE,AA,d,2025-12-09,43.65,44.535,43.34,43.47,4859800,AA,NYSE,2026-01-04 16:17:03.539802
NYSE,AA,d,2025-12-10,43.78,44.77,42.76,44.64,8209300,AA,NYSE,2026-01-04 16:17:03.539802
NYSE,AA,d,2025-12-11,44.5,47.48,44.5,47.24,8980400,AA,NYSE,2026-01-04 16:17:03.539802
NYSE,AA,d,2025-12-12,47.1,48.118,45.82,46.14,7533500,AA,NYSE,2026-01-04 16:17:03.539802
NYSE,AA,d,2025-12-15,46.66,46.68,45.4,45.49,3853800,AA,NYSE,2026-01-04 16:17:03.539802
NYSE,AA,d,2025-12-16,46.0,46.96,45.66,46.56,4552900,AA,NYSE,2026-01-04 16:17:03.539802
NYSE,AA,d,2025-12-17,47.2,47.83,46.66,46.84,4564000,AA,NYSE,2026-01-04 16:17:03.539802
NYSE,AA,d,2025-12-18,47.25,48.73,47.03,48.18,5807900,AA,NYSE,2026-01-04 16:17:03.539802
NYSE,AA,d,2025-12-19,48.66,51.67,48.5401,51.25,9579600,AA,NYSE,2026-01-04 16:17:03.539802
NYSE,AA,d,2025-12-22,52.11,53.9871,51.7,53.72,6074104,AA,NYSE,2026-01-04 16:17:03.539802
NYSE,AA,d,2025-12-23,54.36,54.36,53.08,53.65,5557700,AA,NYSE,2026-01-04 16:17:03.539802
NYSE,AA,d,2025-12-24,54.0,54.0283,53.0,53.63,1884200,AA,NYSE,2026-01-04 16:17:03.539802
NYSE,AA,d,2025-12-26,54.42,54.43,53.74,54.25,3152700,AA,NYSE,2026-01-04 16:17:03.539802
NYSE,AA,d,2025-12-29,52.5,53.94,52.27,53.77,4210900,AA,NYSE,2026-01-04 16:17:03.539802
NYSE,AA,d,2025-12-30,54.73,54.82,53.78,54.38,3457200,AA,NYSE,2026-01-04 16:17:03.539802
NYSE,AA,d,2025-12-31,54.39,54.58,52.64,53.14,5678900,AA,NYSE,2026-01-04 16:17:03.539802
NYSE,AA,d,2026-01-02,54.12,56.61,54.01,56.54,5897400,AA,NYSE,2026-01-04 16:17:03.539802
